# note: only symbols with data from (before) 01-05-2021 are used

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                          long                                                                                          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol    | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| OCEANUSDT | 0.001776      | 0.001848    | 0.06734      | 48.47         | 0.01526      | 0.01603     | 0.01485        | 0.9598                 | 0.001933     | 822.0  | -480179.301776 |
| OMGUSDT   | 0.001769      | 0.002548    | 0.06715      | 63.1          | 0.01008      | 0.01077     | 0.01874        | 0.974                  | 0.001551     | 822.0  | -480179.301769 |
| XRPUSDT   | 0.001557      | 0.002423    | 0.06863      | 48.22         | 0.006877     | 0.01335     | 0.03061        | 0.953                  | 0.002176     | 822.0  | -480179.301557 |
| NKNUSDT   | 0.001512      | 0.002119    | 0.06826      | 27.15         | 0.01167      | 0.01411     | 0.01955        | 0.9614                 | 0.002276     | 822.0  | -480179.301512 |
| CELRUSDT  | 0.001497      | 0.002151    | 0.06856      | 64.83         | 0.01658      | 0.01768     | 0.01898        | 0.9636                 | 0.002535     | 822.0  | -480179.301497 |
| TOMOUSDT  | 0.001468      | 0.001627    | 0.06975      | 51.68         | 0.01633      | 0.01656     | 0.01693        | 0.9746                 | 0.001587     | 822.0  | -480179.301468 |
| HOTUSDT   | 0.001458      | 0.001974    | 0.06856      | 70.97         | 0.01033      | 0.01133     | 0.008184       | 0.9685                 | 0.001513     | 822.0  | -480179.301458 |
| DOGEUSDT  | 0.001448      | 0.002558    | 0.06777      | 17.83         | 0.007951     | 0.01114     | 0.009978       | 0.9678                 | 0.001922     | 822.0  | -480179.301448 |
| ZECUSDT   | 0.001447      | 0.002042    | 0.06732      | 39.05         | 0.01377      | 0.01494     | 0.01843        | 0.966                  | 0.002109     | 822.0  | -480179.301447 |
| GRTUSDT   | 0.00141       | 0.002207    | 0.06967      | 36.65         | 0.01301      | 0.01899     | 0.02131        | 0.9341                 | 0.00281      | 822.0  | -480179.30141  |
| SUSHIUSDT | 0.001366      | 0.002058    | 0.06705      | 48.75         | 0.01786      | 0.01832     | 0.02273        | 0.953                  | 0.002333     | 822.0  | -480179.301366 |
| ATOMUSDT  | 0.001347      | 0.002308    | 0.06265      | 66.73         | 0.009885     | 0.01088     | 0.01215        | 0.971                  | 0.001397     | 822.0  | -480179.301347 |
| ANKRUSDT  | 0.001344      | 0.002113    | 0.06614      | 63.52         | 0.0113       | 0.01471     | 0.04141        | 0.966                  | 0.002213     | 822.0  | -480179.301344 |
| ICXUSDT   | 0.001335      | 0.001913    | 0.06496      | 51.1          | 0.01336      | 0.01687     | 0.04297        | 0.9514                 | 0.002585     | 822.0  | -480179.301335 |
| DENTUSDT  | 0.001331      | 0.002045    | 0.06513      | 62.37         | 0.01279      | 0.01651     | 0.01268        | 0.9429                 | 0.002194     | 822.0  | -480179.301331 |
| CHZUSDT   | 0.001329      | 0.001775    | 0.06209      | 23.42         | 0.01022      | 0.0113      | 0.009277       | 0.9699                 | 0.001304     | 822.0  | -480179.301329 |
| DASHUSDT  | 0.001272      | 0.001071    | 0.06727      | 50.6          | 0.01705      | 0.01799     | 0.0367         | 0.9644                 | 0.001658     | 822.0  | -480179.301272 |
| RVNUSDT   | 0.001219      | 0.002098    | 0.06221      | 65.88         | 0.01173      | 0.01871     | 0.02           | 0.9425                 | 0.002836     | 822.0  | -480179.301219 |
| NEOUSDT   | 0.001217      | 0.001172    | 0.0694       | 62.63         | 0.0166       | 0.01928     | 0.02887        | 0.9566                 | 0.002523     | 822.0  | -480179.301217 |
| COTIUSDT  | 0.001217      | 0.001942    | 0.0699       | 33.98         | 0.01197      | 0.01926     | 0.07518        | 0.9428                 | 0.003596     | 822.0  | -480179.301217 |
| XTZUSDT   | 0.001206      | 0.001578    | 0.06832      | 57.15         | 0.01624      | 0.01853     | 0.0263         | 0.9529                 | 0.00249      | 822.0  | -480179.301206 |
| LRCUSDT   | 0.001192      | 0.001792    | 0.06089      | 55.48         | 0.01089      | 0.01086     | 0.008545       | 0.9751                 | 0.001463     | 822.0  | -480179.301192 |
| KAVAUSDT  | 0.001179      | 0.001134    | 0.0607       | 54.73         | 0.01789      | 0.0191      | 0.02594        | 0.9651                 | 0.002404     | 822.0  | -480179.301179 |
