+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                           long                                                                                          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol    | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| GRTUSDT   | 0.001878      | 0.002961    | 0.07186      | 49.23         | 0.01154      | 0.01939     | 0.04341        | 0.891                  | 0.005355     | 903.71  | -240179.251878 |
| DOGEUSDT  | 0.001605      | 0.003115    | 0.07317      | 22.8          | 0.01144      | 0.0143      | 0.04777        | 0.9043                 | 0.004174     | 1065.62 | -240179.251605 |
| SUSHIUSDT | 0.001595      | 0.00284     | 0.0612       | 61.57         | 0.0119       | 0.0151      | 0.006528       | 0.9338                 | 0.003717     | 1009.71 | -240179.251595 |
| COTIUSDT  | 0.001551      | 0.002597    | 0.07344      | 34.5          | 0.0113       | 0.01652     | 0.05687        | 0.9056                 | 0.004551     | 822.71  | -240179.251551 |
| CHZUSDT   | 0.001521      | 0.002205    | 0.05751      | 54.9          | 0.009674     | 0.01192     | 0.006038       | 0.9388                 | 0.002972     | 870.71  | -240179.251521 |
| THETAUSDT | 0.00144       | 0.00196     | 0.0733       | 37.33         | 0.009149     | 0.01808     | 0.02644        | 0.893                  | 0.005276     | 1109.66 | -240179.25144  |
| ATOMUSDT  | 0.001365      | 0.001815    | 0.07498      | 48.3          | 0.009038     | 0.01899     | 0.02959        | 0.8601                 | 0.004598     | 1219.49 | -240179.251365 |
| CELRUSDT  | 0.001323      | 0.002173    | 0.0699       | 16.63         | 0.01344      | 0.01478     | 0.09156        | 0.9167                 | 0.004007     | 803.71  | -240179.251323 |
| SNXUSDT   | 0.001303      | 0.002008    | 0.06788      | 64.22         | 0.01472      | 0.01695     | 0.03522        | 0.9383                 | 0.004456     | 1030.7  | -240179.251303 |
| HBARUSDT  | 0.001277      | 0.00173     | 0.0688       | 52.1          | 0.0109       | 0.0118      | 0.01438        | 0.9376                 | 0.002991     | 815.71  | -240179.251277 |
| DOTUSDT   | 0.001232      | 0.00208     | 0.0745       | 92.52         | 0.009815     | 0.01544     | 0.01042        | 0.92                   | 0.004031     | 1022.71 | -240179.251232 |
| FTMUSDT   | 0.001228      | 0.002054    | 0.07454      | 59.73         | 0.01505      | 0.02        | 0.02932        | 0.9159                 | 0.005969     | 989.71  | -240179.251228 |
| ANKRUSDT  | 0.001219      | 0.001763    | 0.06387      | 62.07         | 0.01091      | 0.01424     | 0.03191        | 0.9358                 | 0.003899     | 865.71  | -240179.251219 |
