+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                           long                                                                                          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol    | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| GRTUSDT   | 0.001949      | 0.002867    | 0.07364      | 49.3          | 0.01456      | 0.01944     | 0.1368         | 0.8966                 | 0.005321     | 903.71  | -425179.001949 |
| CHZUSDT   | 0.001822      | 0.002911    | 0.06162      | 32.73         | 0.01087      | 0.01527     | 0.1488         | 0.9205                 | 0.003553     | 870.71  | -425179.001822 |
| HBARUSDT  | 0.001694      | 0.003055    | 0.07638      | 52.17         | 0.01031      | 0.01184     | 0.1333         | 0.9375                 | 0.003089     | 815.71  | -425179.001694 |
| COTIUSDT  | 0.00168       | 0.002758    | 0.09615      | 33.35         | 0.01248      | 0.01903     | 0.06065        | 0.8974                 | 0.005962     | 822.71  | -425179.00168  |
| CELRUSDT  | 0.001668      | 0.002564    | 0.08449      | 49.43         | 0.01532      | 0.01905     | 0.06609        | 0.9127                 | 0.00539      | 803.71  | -425179.001668 |
| DOGEUSDT  | 0.001655      | 0.003306    | 0.0639       | 82.27         | 0.0116       | 0.01677     | 0.02803        | 0.904                  | 0.003779     | 1065.62 | -425179.001655 |
| ANKRUSDT  | 0.001645      | 0.002486    | 0.0655       | 61.3          | 0.01323      | 0.01949     | 0.08807        | 0.9106                 | 0.005113     | 865.71  | -425179.001645 |
| DENTUSDT  | 0.001577      | 0.002199    | 0.08843      | 82.25         | 0.01502      | 0.01892     | 0.07994        | 0.9139                 | 0.005161     | 808.83  | -425179.001577 |
| SNXUSDT   | 0.001475      | 0.002565    | 0.04291      | 64.08         | 0.01334      | 0.0132      | 0.04716        | 0.9342                 | 0.002663     | 1030.7  | -425179.001475 |
| FTMUSDT   | 0.001447      | 0.002753    | 0.06673      | 49.98         | 0.01544      | 0.01944     | 0.09174        | 0.9165                 | 0.005134     | 989.71  | -425179.001447 |
| ATOMUSDT  | 0.001414      | 0.002535    | 0.06755      | 66.75         | 0.01031      | 0.01837     | 0.1248         | 0.8711                 | 0.004082     | 1219.49 | -425179.001414 |
| ZILUSDT   | 0.001333      | 0.002105    | 0.07112      | 41.13         | 0.01522      | 0.01916     | 0.1469         | 0.9055                 | 0.005575     | 1087.62 | -425179.001333 |
| UNIUSDT   | 0.001295      | 0.0017      | 0.09785      | 52.9          | 0.01906      | 0.01997     | 0.1179         | 0.9289                 | 0.004306     | 995.71  | -425179.001295 |
| THETAUSDT | 0.00123       | 0.002108    | 0.06577      | 54.9          | 0.01154      | 0.01556     | 0.09906        | 0.914                  | 0.004156     | 1109.66 | -425179.00123  |
| MATICUSDT | 0.001201      | 0.002894    | 0.05712      | 27.25         | 0.01383      | 0.0144      | 0.09485        | 0.923                  | 0.003821     | 961.71  | -425179.001201 |
| MANAUSDT  | 0.001126      | 0.001907    | 0.07598      | 76.78         | 0.01318      | 0.01956     | 0.04751        | 0.926                  | 0.005469     | 817.71  | -425179.001126 |
| SKLUSDT   | 0.001111      | 0.001975    | 0.0391       | 56.13         | 0.01056      | 0.01338     | 0.1369         | 0.9174                 | 0.003043     | 914.68  | -425179.001111 |
| SOLUSDT   | 0.001095      | 0.002726    | 0.06241      | 95.63         | 0.01466      | 0.0153      | 0.133          | 0.9226                 | 0.002909     | 999.71  | -425179.001095 |
| SXPUSDT   | 0.001091      | 0.00158     | 0.03689      | 70.63         | 0.01446      | 0.01531     | 0.1474         | 0.9402                 | 0.002334     | 1054.62 | -425179.001091 |
| ETCUSDT   | 0.00109       | 0.001895    | 0.06568      | 70.43         | 0.01165      | 0.01782     | 0.07943        | 0.8787                 | 0.004758     | 1241.66 | -425179.00109  |
| ENJUSDT   | 0.001041      | 0.001335    | 0.0699       | 57.1          | 0.01799      | 0.01841     | 0.02231        | 0.9174                 | 0.004498     | 984.71  | -425179.001041 |
| XTZUSDT   | 0.001012      | 0.001267    | 0.07519      | 53.15         | 0.01575      | 0.01921     | 0.08376        | 0.8789                 | 0.005282     | 1220.66 | -425179.001012 |
| ONEUSDT   | 0.001011      | 0.002051    | 0.04352      | 47.35         | 0.01234      | 0.01745     | 0.1132         | 0.9103                 | 0.00421      | 814.71  | -425179.001011 |
| CHRUSDT   | 0.0009883     | 0.002589    | 0.08463      | 49.47         | 0.01556      | 0.01945     | 0.05276        | 0.9302                 | 0.005453     | 820.71  | -425179.000988 |
| ADAUSDT   | 0.0008967     | 0.00165     | 0.04404      | 85.77         | 0.01247      | 0.01813     | 0.1408         | 0.8604                 | 0.003707     | 1226.66 | -425179.000897 |
| LINKUSDT  | 0.0008952     | 0.001783    | 0.05086      | 48.03         | 0.01396      | 0.01315     | 0.1005         | 0.9528                 | 0.001685     | 1240.66 | -425179.000895 |
| VETUSDT   | 0.000855      | 0.002173    | 0.03583      | 21.75         | 0.009765     | 0.01918     | 0.1437         | 0.8579                 | 0.004546     | 1212.66 | -425179.000855 |
| 1INCHUSDT | 0.0008091     | 0.001491    | 0.07767      | 53.33         | 0.01479      | 0.01995     | 0.1153         | 0.9091                 | 0.005246     | 897.58  | -425179.000809 |
| SANDUSDT  | 0.0007856     | 0.00178     | 0.02524      | 44.57         | 0.01233      | 0.01306     | 0.1238         | 0.9402                 | 0.00199      | 866.71  | -425179.000786 |
| DOTUSDT   | 0.0007415     | 0.002246    | 0.04951      | 93.67         | 0.01409      | 0.01356     | 0.1378         | 0.9281                 | 0.002592     | 1022.71 | -425179.000742 |
| AAVEUSDT  | 0.0005545     | 0.001845    | 0.04826      | 68.38         | 0.01405      | 0.01275     | 0.1266         | 0.9533                 | 0.002134     | 967.71  | -425179.000555 |
| XEMUSDT   | 0.000484      | 0.0009584   | 0.02134      | 71.72         | 0.01437      | 0.01464     | 0.07023        | 0.9268                 | 0.002429     | 829.71  | -425179.000484 |
| STORJUSDT | 0.0004205     | 0.001001    | 0.01148      | 58.28         | 0.01488      | 0.01488     | 0.1122         | 0.9572                 | 0.001251     | 997.7   | -425179.00042  |
| CRVUSDT   | 0.0002669     | 0.001107    | 0.03103      | 50.6          | 0.01965      | 0.01753     | 0.1486         | 0.9425                 | 0.00253      | 1012.71 | -425179.000267 |
| SUSHIUSDT | 0.0005357     | 0.001933    | 0.02734      | 23.92         | 0.01484      | 0.03789     | 0.1475         | 0.7759                 | 0.005867     | 1009.71 | -425000.139457 |
| AXSUSDT   | 0.0008768     | 0.002908    | 0.06865      | 87.33         | 0.01404      | 0.01563     | 0.1717         | 0.9158                 | 0.003428     | 932.7   | -423013.580566 |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                       short                                                                                       |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------+
| symbol    | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score    |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------+
