+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                           long                                                                                          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol    | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| CELRUSDT  | 0.002231      | 0.002369    | 0.07285      | 65.53         | 0.0156       | 0.0176      | 0.09625        | 0.9428                 | 0.004304     | 804.71  | -425179.002231 |
| GRTUSDT   | 0.001924      | 0.002953    | 0.05649      | 49.35         | 0.01417      | 0.01989     | 0.1371         | 0.8943                 | 0.004712     | 904.71  | -425179.001924 |
| HBARUSDT  | 0.00183       | 0.003097    | 0.07416      | 82.97         | 0.01544      | 0.01748     | 0.1407         | 0.9342                 | 0.003813     | 816.71  | -425179.00183  |
| CHZUSDT   | 0.001706      | 0.001859    | 0.0417       | 38.42         | 0.01599      | 0.01726     | 0.1455         | 0.939                  | 0.00231      | 871.71  | -425179.001706 |
| COTIUSDT  | 0.001625      | 0.002166    | 0.06077      | 62.1          | 0.01553      | 0.01619     | 0.1442         | 0.9088                 | 0.003441     | 823.71  | -425179.001625 |
| SANDUSDT  | 0.001503      | 0.001989    | 0.0263       | 68.05         | 0.01654      | 0.01849     | 0.1388         | 0.915                  | 0.002487     | 868.71  | -425179.001503 |
| DENTUSDT  | 0.001418      | 0.001398    | 0.08701      | 61.9          | 0.01523      | 0.01915     | 0.1486         | 0.9182                 | 0.005599     | 809.83  | -425179.001418 |
| ENJUSDT   | 0.001381      | 0.001823    | 0.073        | 67.98         | 0.0181       | 0.02        | 0.1366         | 0.9173                 | 0.004536     | 985.71  | -425179.001381 |
| ATOMUSDT  | 0.001341      | 0.001974    | 0.04621      | 66.77         | 0.0141       | 0.01989     | 0.1461         | 0.8827                 | 0.004008     | 1220.49 | -425179.001341 |
| DOGEUSDT  | 0.001339      | 0.002608    | 0.04202      | 72.67         | 0.01185      | 0.01976     | 0.1465         | 0.8863                 | 0.004014     | 1066.62 | -425179.001339 |
| MATICUSDT | 0.001302      | 0.003444    | 0.02063      | 48.08         | 0.008653     | 0.01698     | 0.1074         | 0.9097                 | 0.003324     | 962.71  | -425179.001302 |
| SNXUSDT   | 0.001298      | 0.002412    | 0.04156      | 90.5          | 0.01706      | 0.01719     | 0.1326         | 0.9284                 | 0.00312      | 1031.7  | -425179.001298 |
| ANKRUSDT  | 0.0012        | 0.002232    | 0.03424      | 63.72         | 0.01556      | 0.0197      | 0.1197         | 0.9203                 | 0.00362      | 866.71  | -425179.0012   |
| MANAUSDT  | 0.001168      | 0.002055    | 0.03576      | 73.57         | 0.01569      | 0.02        | 0.1176         | 0.9106                 | 0.004021     | 818.71  | -425179.001168 |
| UNIUSDT   | 0.001119      | 0.001438    | 0.05975      | 78.5          | 0.01633      | 0.01515     | 0.1475         | 0.936                  | 0.002316     | 997.71  | -425179.001119 |
| LINKUSDT  | 0.001067      | 0.001862    | 0.04393      | 71.83         | 0.01147      | 0.01313     | 0.1456         | 0.9134                 | 0.002407     | 1242.66 | -425179.001067 |
| ZILUSDT   | 0.001067      | 0.001818    | 0.03647      | 71.72         | 0.01633      | 0.01818     | 0.142          | 0.9189                 | 0.003166     | 1089.62 | -425179.001067 |
| SKLUSDT   | 0.001008      | 0.001629    | 0.06529      | 66.22         | 0.01913      | 0.01967     | 0.1251         | 0.9223                 | 0.004479     | 915.68  | -425179.001008 |
| 1INCHUSDT | 0.0009783     | 0.001996    | 0.03239      | 63.8          | 0.01543      | 0.01751     | 0.1437         | 0.925                  | 0.002849     | 898.58  | -425179.000978 |
| ETCUSDT   | 0.0009696     | 0.002001    | 0.06042      | 55.7          | 0.01388      | 0.01844     | 0.09209        | 0.8999                 | 0.004118     | 1242.66 | -425179.00097  |
| SOLUSDT   | 0.0009294     | 0.001851    | 0.06299      | 80.73         | 0.01797      | 0.01575     | 0.1363         | 0.9499                 | 0.002659     | 1001.71 | -425179.000929 |
| THETAUSDT | 0.000909      | 0.001643    | 0.0455       | 70.27         | 0.01681      | 0.01753     | 0.1308         | 0.907                  | 0.003239     | 1110.66 | -425179.000909 |
| ADAUSDT   | 0.0007837     | 0.00193     | 0.0077       | 93.43         | 0.007528     | 0.01026     | 0.1247         | 0.9434                 | 0.00141      | 1227.66 | -425179.000784 |
| ONEUSDT   | 0.0007837     | 0.002399    | 0.01355      | 69.85         | 0.01239      | 0.01521     | 0.1121         | 0.939                  | 0.001986     | 815.71  | -425179.000784 |
| SXPUSDT   | 0.0007697     | 0.001638    | 0.02962      | 71.97         | 0.01276      | 0.01444     | 0.1498         | 0.9319                 | 0.002497     | 1056.62 | -425179.00077  |
| STORJUSDT | 0.0006176     | 0.001004    | 0.03107      | 70.77         | 0.0191       | 0.0184      | 0.1481         | 0.9343                 | 0.002648     | 999.7   | -425179.000618 |
| CHRUSDT   | 0.0005873     | 0.001776    | 0.04083      | 68.12         | 0.01593      | 0.01555     | 0.03866        | 0.9344                 | 0.002528     | 821.71  | -425179.000587 |
| DOTUSDT   | 0.0005785     | 0.001965    | 0.03306      | 93.3          | 0.01185      | 0.0123      | 0.1348         | 0.9413                 | 0.002177     | 1023.71 | -425179.000579 |
| CRVUSDT   | 0.0005721     | 0.001243    | 0.05012      | 53.87         | 0.01996      | 0.01889     | 0.146          | 0.9176                 | 0.003326     | 1013.71 | -425179.000572 |
| VETUSDT   | 0.0004279     | 0.001959    | 0.004282     | 78.48         | 0.007666     | 0.01394     | 0.1461         | 0.9221                 | 0.001623     | 1214.66 | -425179.000428 |
| FTMUSDT   | 0.0004254     | 0.001498    | 0.007668     | 81.03         | 0.01248      | 0.01487     | 0.1492         | 0.9413                 | 0.001578     | 990.71  | -425179.000425 |
| AAVEUSDT  | 0.0002891     | 0.001705    | 0.008183     | 94.75         | 0.01266      | 0.01135     | 0.1479         | 0.9761                 | 0.00063      | 968.71  | -425179.000289 |
| AXSUSDT   | 0.001045      | 0.002199    | 0.06971      | 91.28         | 0.02262      | 0.02213     | 0.1373         | 0.9143                 | 0.004421     | 933.7   | -425155.074826 |
| SUSHIUSDT | 0.0001907     | 0.001004    | 0.02462      | 66.85         | 0.02712      | 0.03002     | 0.1493         | 0.8514                 | 0.004374     | 1010.71 | -425071.699274 |
| XEMUSDT   | 0.0001026     | 0.001156    | 0.006276     | 99.85         | 0.01023      | 0.01258     | 0.1626         | 0.9714                 | 0.0009509    | 830.71  | -423529.310398 |
| XTZUSDT   | 0.0001513     | 0.0009619   | 0.004702     | 98.07         | 0.007151     | 0.008416    | 0.1743         | 0.967                  | 0.0009065    | 1222.66 | -422546.865936 |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                       short                                                                                       |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------+
| symbol    | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score    |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------+
| SUSHIUSDT | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1010.71 | -30399.0 |
| 1INCHUSDT | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 898.58  | -30399.0 |
| AXSUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 933.7   | -30399.0 |
| CHRUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 821.71  | -30399.0 |
| ATOMUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1220.49 | -30399.0 |
| CELRUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 804.71  | -30399.0 |
| MATICUSDT | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 962.71  | -30399.0 |
| SKLUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 915.68  | -30399.0 |
| SXPUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1056.62 | -30399.0 |
| HBARUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 816.71  | -30399.0 |
| ANKRUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 866.71  | -30399.0 |
| SNXUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1031.7  | -30399.0 |
| MANAUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 818.71  | -30399.0 |
| XTZUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1222.66 | -30399.0 |
| GRTUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 904.71  | -30399.0 |
| UNIUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 997.71  | -30399.0 |
| ADAUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1227.66 | -30399.0 |
| XEMUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 830.71  | -30399.0 |
| ETCUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1242.66 | -30399.0 |
| CHZUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 871.71  | -30399.0 |
| SOLUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1001.71 | -30399.0 |
| DENTUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 809.83  | -30399.0 |
| FTMUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 990.71  | -30399.0 |
| COTIUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 823.71  | -30399.0 |
| LINKUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1242.66 | -30399.0 |
| ENJUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 985.71  | -30399.0 |
| STORJUSDT | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 999.7   | -30399.0 |
| THETAUSDT | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1110.66 | -30399.0 |
| DOTUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1023.71 | -30399.0 |
| DOGEUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1066.62 | -30399.0 |
| ONEUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 815.71  | -30399.0 |
| CRVUSDT   | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 1013.71 | -30399.0 |
| AAVEUSDT  | 0.0           | 0.0         | 0.0          | nan           | 100.0        | 1.0         | 1.0            | 1.0                    | 0.0          | 968.71  | -30399.0 |
