+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| EDUUSDT       | 0.002588      | 0.002941    | 0.05984      | 32.72         | 0.01075      | 0.009066    | 0.0006807      | 0.9853                 | 0.001761     | 59.5   | -480179.302588 |
| RNDRUSDT      | 0.002587      | 0.002529    | 0.04901      | 55.1          | 0.01065      | 0.01091     | 0.01141        | 0.9545                 | 0.003884     | 145.89 | -480179.302587 |
| TOMOUSDT      | 0.001844      | 0.002078    | 0.06658      | 51.68         | 0.01392      | 0.01551     | 0.04263        | 0.9037                 | 0.005873     | 905.0  | -480179.301844 |
| ATOMUSDT      | 0.001739      | 0.002465    | 0.06945      | 66.85         | 0.01017      | 0.01422     | 0.02287        | 0.8847                 | 0.005218     | 905.0  | -480179.301739 |
| FETUSDT       | 0.001698      | 0.002158    | 0.04248      | 25.93         | 0.007932     | 0.006786    | 0.0321         | 0.9746                 | 0.001859     | 162.89 | -480179.301698 |
| XRPUSDT       | 0.001691      | 0.003259    | 0.06549      | 48.05         | 0.00697      | 0.009701    | 0.01579        | 0.9029                 | 0.003962     | 905.0  | -480179.301691 |
| NKNUSDT       | 0.001663      | 0.001978    | 0.06178      | 37.82         | 0.01443      | 0.01792     | 0.06157        | 0.8717                 | 0.006926     | 810.71 | -480179.301663 |
| HOTUSDT       | 0.001644      | 0.002383    | 0.06878      | 65.1          | 0.009733     | 0.01218     | 0.004689       | 0.8994                 | 0.004398     | 820.71 | -480179.301644 |
| LRCUSDT       | 0.00164       | 0.002341    | 0.06982      | 73.92         | 0.01033      | 0.01693     | 0.005254       | 0.8812                 | 0.007        | 905.0  | -480179.30164  |
| LQTYUSDT      | 0.001639      | 0.002211    | 0.06522      | 40.58         | 0.01199      | 0.01136     | 0.01226        | 0.9687                 | 0.002882     | 110.5  | -480179.301639 |
| DOGEUSDT      | 0.001628      | 0.002941    | 0.06533      | 40.42         | 0.009836     | 0.01361     | 0.07262        | 0.8507                 | 0.005609     | 905.0  | -480179.301628 |
| ALICEUSDT     | 0.001622      | 0.002111    | 0.06992      | 36.13         | 0.0112       | 0.01644     | 0.009945       | 0.8875                 | 0.006457     | 834.87 | -480179.301622 |
| 1000PEPEUSDT  | 0.001584      | 0.003836    | 0.05197      | 54.35         | 0.01468      | 0.0113      | 0.001189       | 0.985                  | 0.001657     | 54.31  | -480179.301584 |
| RUNEUSDT      | 0.001532      | 0.002017    | 0.05676      | 56.35         | 0.01134      | 0.0137      | 0.01179        | 0.9164                 | 0.004931     | 905.0  | -480179.301532 |
| TUSDT         | 0.001518      | 0.001597    | 0.05744      | 49.25         | 0.007876     | 0.006574    | 0.002586       | 0.9821                 | 0.001401     | 147.46 | -480179.301518 |
| RLCUSDT       | 0.001515      | 0.002397    | 0.06154      | 49.62         | 0.01117      | 0.01859     | 0.02335        | 0.8714                 | 0.007462     | 905.0  | -480179.301515 |
| CELRUSDT      | 0.001491      | 0.002222    | 0.06854      | 64.52         | 0.01407      | 0.01435     | 0.02541        | 0.9233                 | 0.005638     | 821.71 | -480179.301491 |
| SUSHIUSDT     | 0.001443      | 0.002345    | 0.06679      | 47.53         | 0.01118      | 0.01607     | 0.02205        | 0.8569                 | 0.005937     | 905.0  | -480179.301443 |
| OCEANUSDT     | 0.001435      | 0.001724    | 0.0581       | 27.98         | 0.0163       | 0.01608     | 0.03485        | 0.9058                 | 0.00378      | 905.0  | -480179.301435 |
| NEOUSDT       | 0.001426      | 0.00185     | 0.06947      | 58.08         | 0.01191      | 0.01574     | 0.01622        | 0.9024                 | 0.006058     | 905.0  | -480179.301426 |
| INJUSDT       | 0.001426      | 0.001568    | 0.03872      | 49.2          | 0.01067      | 0.008987    | 0.004455       | 0.9772                 | 0.001478     | 315.88 | -480179.301426 |
