+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| CHRUSDT      | 0.003143                  | 23.62         | 0.01895          | 0.01911         | 0.1847            | 0.882                        | 0.008676        | 717.0  | -56012.5031427042   |
| 1000SHIBUSDT | 0.002973                  | 86.42         | 0.01081          | 0.02029         | 0.2762            | 0.7683                       | 0.009987        | 707.26 | -56012.502973095194 |
| XMRUSDT      | 0.002752                  | 48.15         | 0.009439         | 0.01134         | 0.2283            | 0.877                        | 0.008146        | 717.0  | -56012.50275194099  |
| CRVUSDT      | 0.002594                  | 81.42         | 0.02423          | 0.02313         | 0.0746            | 0.8574                       | 0.009349        | 717.0  | -56012.50259396729  |
| UNIUSDT      | 0.002591                  | 64.28         | 0.0184           | 0.01717         | 0.1823            | 0.843                        | 0.009015        | 717.0  | -56012.50259112065  |
| IOTAUSDT     | 0.002369                  | 45.92         | 0.02134          | 0.02059         | 0.1349            | 0.8854                       | 0.009506        | 717.0  | -56012.50236938811  |
| HOTUSDT      | 0.002355                  | 66.2          | 0.01167          | 0.01784         | 0.1887            | 0.7663                       | 0.009961        | 717.0  | -56012.5023547647   |
| AXSUSDT      | 0.002326                  | 48.48         | 0.01207          | 0.01615         | 0.2634            | 0.79                         | 0.009353        | 717.0  | -56012.502325857946 |
| TRXUSDT      | 0.002228                  | 79.47         | 0.01052          | 0.01512         | 0.2601            | 0.7997                       | 0.009864        | 717.0  | -56012.502228240206 |
| MATICUSDT    | 0.002145                  | 49.22         | 0.01382          | 0.01738         | 0.204             | 0.8068                       | 0.009662        | 717.0  | -56012.50214539061  |
| VETUSDT      | 0.002106                  | 82.65         | 0.0172           | 0.01801         | 0.2044            | 0.8053                       | 0.009971        | 717.0  | -56012.502105986874 |
| TOMOUSDT     | 0.002101                  | 68.02         | 0.01805          | 0.01626         | 0.1834            | 0.8428                       | 0.009378        | 717.0  | -56012.50210146503  |
| HBARUSDT     | 0.002034                  | 82.98         | 0.0118           | 0.01637         | 0.1432            | 0.831                        | 0.009755        | 717.0  | -56012.502033784665 |
| ALGOUSDT     | 0.001932                  | 73.95         | 0.01501          | 0.01738         | 0.268             | 0.8085                       | 0.009957        | 717.0  | -56012.50193188513  |
| NKNUSDT      | 0.001927                  | 42.47         | 0.01387          | 0.01669         | 0.2126            | 0.7819                       | 0.009337        | 717.0  | -56012.501926995785 |
