+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                    long                                                                                    |
+-------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol      | adg_w_per_exp | adg_per_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
+-------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| FETUSDT     | 0.007658      | 0.006933    | 59.05         | 0.008563     | 0.01322     | 0.1322         | 0.9556                 | 0.004725     | 116.89  | -57518.0076583 |
| APTUSDT     | 0.003552      | 0.003351    | 49.0          | 0.00949      | 0.01422     | 0.1275         | 0.919                  | 0.004959     | 206.92  | -57518.0035515 |
| IMXUSDT     | 0.003238      | 0.003321    | 34.6          | 0.0115       | 0.01104     | 0.1267         | 0.9471                 | 0.003673     | 456.85  | -57518.0032378 |
| JASMYUSDT   | 0.003148      | 0.002631    | 58.78         | 0.01813      | 0.01943     | 0.1165         | 0.9432                 | 0.007929     | 388.85  | -57518.0031478 |
| CTSIUSDT    | 0.003121      | 0.002608    | 47.78         | 0.0155       | 0.01992     | 0.06507        | 0.9003                 | 0.006907     | 564.85  | -57518.0031208 |
| GALUSDT     | 0.002886      | 0.00357     | 46.62         | 0.01874      | 0.01873     | 0.01364        | 0.9456                 | 0.007661     | 373.41  | -57518.0028864 |
| OPUSDT      | 0.002769      | 0.00328     | 54.83         | 0.01239      | 0.01177     | 0.09577        | 0.9475                 | 0.003128     | 346.41  | -57518.0027692 |
| MTLUSDT     | 0.002727      | 0.002094    | 62.73         | 0.01927      | 0.01945     | 0.05881        | 0.9036                 | 0.006143     | 773.71  | -57518.0027269 |
| CELOUSDT    | 0.002677      | 0.002922    | 43.25         | 0.01144      | 0.01415     | 0.01205        | 0.9403                 | 0.005356     | 593.85  | -57518.0026766 |
| NKNUSDT     | 0.002432      | 0.003351    | 31.85         | 0.01557      | 0.01966     | 0.1137         | 0.8889                 | 0.0079       | 764.71  | -57518.0024324 |
| SOLUSDT     | 0.002421      | 0.003148    | 53.4          | 0.01113      | 0.01379     | 0.138          | 0.9142                 | 0.004742     | 971.71  | -57518.0024207 |
| ARPAUSDT    | 0.002405      | 0.002929    | 32.63         | 0.01206      | 0.01307     | 0.06379        | 0.9414                 | 0.004605     | 571.85  | -57518.0024049 |
| DYDXUSDT    | 0.00239       | 0.002423    | 41.28         | 0.01223      | 0.01157     | 0.1216         | 0.9316                 | 0.003462     | 610.85  | -57518.0023897 |
| WOOUSDT     | 0.002295      | 0.002251    | 28.1          | 0.01534      | 0.01932     | 0.1095         | 0.8793                 | 0.006584     | 400.85  | -57518.002295  |
| PEOPLEUSDT  | 0.002142      | 0.003141    | 54.17         | 0.01381      | 0.0137      | 0.1352         | 0.9503                 | 0.003341     | 505.83  | -57518.0021424 |
| DUSKUSDT    | 0.002129      | 0.002251    | 48.18         | 0.01062      | 0.01046     | 0.05316        | 0.9524                 | 0.002914     | 491.85  | -57518.0021294 |
| HBARUSDT    | 0.002129      | 0.003492    | 32.25         | 0.0116       | 0.01302     | 0.1453         | 0.9155                 | 0.004744     | 787.71  | -57518.0021288 |
| GRTUSDT     | 0.00212       | 0.003006    | 61.57         | 0.01345      | 0.01981     | 0.1353         | 0.8728                 | 0.005534     | 875.71  | -57518.0021204 |
| XMRUSDT     | 0.00211       | 0.001728    | 52.45         | 0.0123       | 0.01973     | 0.08803        | 0.851                  | 0.007698     | 1195.66 | -57518.0021102 |
| ROSEUSDT    | 0.002031      | 0.002517    | 48.2          | 0.01366      | 0.01888     | 0.111          | 0.9196                 | 0.008411     | 498.85  | -57518.0020306 |
| RVNUSDT     | 0.002         | 0.002518    | 66.32         | 0.01204      | 0.01844     | 0.1149         | 0.8926                 | 0.006199     | 809.71  | -57518.0019995 |
