+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| MAVUSDT       | 0.0064        | 0.01336     | 0.03756      | 4.85          | 0.01206      | 0.01053     | 0.008589       | 0.9997                 | 0.0002047    | 1.5    | -480179.3064   |
| EDUUSDT       | 0.003414      | 0.002791    | 0.05453      | 36.03         | 0.01083      | 0.009027    | 0.009238       | 0.9874                 | 0.001408     | 61.5   | -480179.303414 |
| COMBOUSDT     | 0.002557      | 0.002268    | 0.06215      | 19.12         | 0.01645      | 0.01495     | 0.0233         | 0.9837                 | 0.002277     | 28.5   | -480179.302557 |
| RNDRUSDT      | 0.002272      | 0.002701    | 0.04767      | 55.1          | 0.01142      | 0.0125      | 0.03293        | 0.9449                 | 0.004706     | 147.89 | -480179.302272 |
| 1000PEPEUSDT  | 0.002119      | 0.005213    | 0.0425       | 57.78         | 0.01153      | 0.009014    | 0.005564       | 0.9803                 | 0.002037     | 56.31  | -480179.302119 |
| BLURUSDT      | 0.002118      | 0.00211     | 0.06165      | 51.05         | 0.01021      | 0.008752    | 0.01655        | 0.9853                 | 0.001552     | 63.5   | -480179.302118 |
| UMAUSDT       | 0.002094      | 0.001991    | 0.02994      | 41.67         | 0.01062      | 0.008506    | 0.03246        | 0.9943                 | 0.000756     | 51.48  | -480179.302094 |
| IDUSDT        | 0.001937      | 0.001875    | 0.06123      | 64.75         | 0.01088      | 0.007988    | 0.02848        | 0.9823                 | 0.001949     | 99.39  | -480179.301937 |
| OMGUSDT       | 0.001787      | 0.002242    | 0.06544      | 61.8          | 0.01106      | 0.01581     | 0.0564         | 0.8883                 | 0.006315     | 791.0  | -480179.301787 |
