+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| MAVUSDT       | 0.006367      | 0.0204      | 0.05204      | 4.333         | 0.007148     | 0.006018    | 0.0            | 0.9992                 | 0.001059     | 1.5    | -230179.256367 |
| COMBOUSDT     | 0.0044        | 0.002373    | 0.05524      | 20.0          | 0.01999      | 0.01562     | 0.003589       | 0.99                   | 0.00183      | 28.5   | -230179.2544   |
| EDUUSDT       | 0.003366      | 0.002799    | 0.05454      | 30.75         | 0.009723     | 0.008564    | 0.001042       | 0.9855                 | 0.001614     | 61.5   | -230179.253366 |
| 1000FLOKIUSDT | 0.00242       | 0.001915    | 0.06841      | 21.97         | 0.01135      | 0.009432    | 0.001419       | 0.9837                 | 0.001907     | 55.31  | -230179.25242  |
| 1000PEPEUSDT  | 0.002314      | 0.003813    | 0.03806      | 16.28         | 0.01148      | 0.011       | 0.006643       | 0.9777                 | 0.002606     | 56.31  | -230179.252314 |
| AMBUSDT       | 0.002248      | 0.002071    | 0.06919      | 24.27         | 0.01414      | 0.01103     | 0.0329         | 0.9624                 | 0.003301     | 92.5   | -230179.252248 |
| KEYUSDT       | 0.002117      | 0.001932    | 0.07192      | 10.8          | 0.009658     | 0.007664    | 0.008308       | 0.9821                 | 0.002299     | 37.5   | -230179.252117 |
| BLURUSDT      | 0.002074      | 0.001911    | 0.05445      | 28.97         | 0.009942     | 0.008645    | 0.004543       | 0.9924                 | 0.0009082    | 63.5   | -230179.252074 |
| IDUSDT        | 0.002051      | 0.001753    | 0.05338      | 65.77         | 0.01355      | 0.009709    | 0.005914       | 0.9885                 | 0.00141      | 99.39  | -230179.252051 |
| RNDRUSDT      | 0.002036      | 0.002151    | 0.05406      | 55.1          | 0.01187      | 0.01402     | 0.02019        | 0.9444                 | 0.005583     | 147.89 | -230179.252036 |
| NKNUSDT       | 0.001793      | 0.002362    | 0.06804      | 58.77         | 0.01278      | 0.01867     | 0.01813        | 0.8592                 | 0.007203     | 791.0  | -230179.251793 |
| CFXUSDT       | 0.001723      | 0.001189    | 0.06136      | 64.23         | 0.01933      | 0.01731     | 0.02196        | 0.9583                 | 0.004549     | 130.39 | -230179.251723 |
| GRTUSDT       | 0.001711      | 0.002458    | 0.07481      | 80.7          | 0.01285      | 0.01902     | 0.03724        | 0.8527                 | 0.007494     | 791.0  | -230179.251711 |
| UMAUSDT       | 0.001706      | 0.001347    | 0.06427      | 21.6          | 0.01004      | 0.008284    | 0.04143        | 0.9905                 | 0.001299     | 51.48  | -230179.251706 |
| OMGUSDT       | 0.001596      | 0.002014    | 0.0704       | 52.28         | 0.01139      | 0.0124      | 0.01925        | 0.912                  | 0.004818     | 791.0  | -230179.251596 |
| HOOKUSDT      | 0.00159       | 0.001893    | 0.06446      | 43.18         | 0.01012      | 0.009311    | 0.004757       | 0.9602                 | 0.002768     | 158.87 | -230179.25159  |
| FETUSDT       | 0.001556      | 0.001624    | 0.05776      | 53.97         | 0.01242      | 0.01101     | 0.01503        | 0.9718                 | 0.002126     | 164.89 | -230179.251556 |
| LRCUSDT       | 0.001536      | 0.001913    | 0.07346      | 48.23         | 0.009833     | 0.01367     | 0.01176        | 0.9255                 | 0.005477     | 791.0  | -230179.251536 |
| RADUSDT       | 0.001532      | 0.001537    | 0.04313      | 24.98         | 0.01351      | 0.01016     | 0.009414       | 0.992                  | 0.001093     | 51.5   | -230179.251532 |
| OPUSDT        | 0.001525      | 0.001699    | 0.06362      | 24.05         | 0.01008      | 0.01042     | 0.01163        | 0.9478                 | 0.004205     | 394.41 | -230179.251525 |
| ATOMUSDT      | 0.001523      | 0.002081    | 0.07494      | 66.77         | 0.009905     | 0.01083     | 0.01394        | 0.9222                 | 0.003987     | 791.0  | -230179.251523 |
| TUSDT         | 0.001509      | 0.001493    | 0.06996      | 49.48         | 0.008159     | 0.007087    | 0.001206       | 0.979                  | 0.001871     | 149.46 | -230179.251509 |
| 1000LUNCUSDT  | 0.001484      | 0.001716    | 0.05723      | 59.85         | 0.006585     | 0.007134    | 0.0032         | 0.9664                 | 0.00235      | 294.46 | -230179.251484 |
| INJUSDT       | 0.001457      | 0.001633    | 0.0396       | 55.62         | 0.0103       | 0.008417    | 0.02252        | 0.9758                 | 0.001605     | 317.88 | -230179.251457 |
| HOTUSDT       | 0.001451      | 0.002014    | 0.06951      | 48.97         | 0.01071      | 0.01394     | 0.01048        | 0.8967                 | 0.004766     | 791.0  | -230179.251451 |
| XRPUSDT       | 0.001427      | 0.00234     | 0.07179      | 59.48         | 0.007127     | 0.0128      | 0.01895        | 0.8946                 | 0.005274     | 791.0  | -230179.251427 |
| CKBUSDT       | 0.001427      | 0.001727    | 0.06884      | 48.82         | 0.009254     | 0.008743    | 0.004636       | 0.9717                 | 0.002996     | 122.5  | -230179.251427 |
| LQTYUSDT      | 0.00141       | 0.001603    | 0.04765      | 40.65         | 0.0131       | 0.01178     | 0.01844        | 0.9791                 | 0.001723     | 112.5  | -230179.25141  |
| RLCUSDT       | 0.001395      | 0.002162    | 0.06818      | 50.7          | 0.01088      | 0.01731     | 0.01454        | 0.878                  | 0.00724      | 791.0  | -230179.251395 |
| TOMOUSDT      | 0.00139       | 0.001539    | 0.06104      | 66.78         | 0.01452      | 0.01523     | 0.02166        | 0.9153                 | 0.004971     | 791.0  | -230179.25139  |
| BNXUSDT       | 0.001388      | 0.001466    | 0.06344      | 48.98         | 0.01333      | 0.0193      | 0.05131        | 0.9178                 | 0.008645     | 128.38 | -230179.251388 |
| CELRUSDT      | 0.001381      | 0.002123    | 0.07081      | 64.53         | 0.0141       | 0.01628     | 0.02375        | 0.8964                 | 0.006569     | 791.0  | -230179.251381 |
| DOGEUSDT      | 0.001366      | 0.0019      | 0.06548      | 42.8          | 0.01225      | 0.01411     | 0.04735        | 0.9112                 | 0.005672     | 791.0  | -230179.251366 |
| ARBUSDT       | 0.001366      | 0.001621    | 0.03648      | 48.15         | 0.006724     | 0.006459    | 0.0            | 0.9888                 | 0.001005     | 99.37  | -230179.251366 |
| CHZUSDT       | 0.001318      | 0.001968    | 0.06276      | 45.7          | 0.009491     | 0.01317     | 0.005628       | 0.8957                 | 0.005299     | 791.0  | -230179.251318 |
| MTLUSDT       | 0.001317      | 0.001358    | 0.06851      | 61.3          | 0.01811      | 0.01693     | 0.02857        | 0.9135                 | 0.003989     | 791.0  | -230179.251317 |
| RDNTUSDT      | 0.001297      | 0.001744    | 0.06781      | 42.55         | 0.01298      | 0.01268     | 0.04617        | 0.9581                 | 0.005161     | 86.5   | -230179.251297 |
| HIGHUSDT      | 0.001297      | 0.00143     | 0.05462      | 18.77         | 0.01201      | 0.009612    | 0.02229        | 0.9754                 | 0.0019       | 143.89 | -230179.251297 |
| LINAUSDT      | 0.001279      | 0.001133    | 0.05727      | 56.45         | 0.01876      | 0.01622     | 0.03622        | 0.9041                 | 0.00461      | 791.0  | -230179.251279 |
| SFPUSDT       | 0.001276      | 0.001271    | 0.06536      | 55.9          | 0.01586      | 0.01667     | 0.01602        | 0.8843                 | 0.004897     | 791.0  | -230179.251276 |
| STXUSDT       | 0.001275      | 0.001837    | 0.07053      | 65.87         | 0.01143      | 0.01058     | 0.0498         | 0.9523                 | 0.00383      | 129.39 | -230179.251275 |
| RVNUSDT       | 0.001274      | 0.001774    | 0.06268      | 37.33         | 0.0103       | 0.01052     | 0.007473       | 0.9289                 | 0.003911     | 791.0  | -230179.251274 |
| AGIXUSDT      | 0.001257      | 0.001814    | 0.05738      | 23.58         | 0.01006      | 0.008546    | 0.005389       | 0.9722                 | 0.002183     | 134.4  | -230179.251257 |
