# Note: coins with less than ~730 days worth of price history are not optimized on their own,
# but instead the best config from among the coins with longer price history is selected.

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| MAVUSDT       | 0.0384        | 0.06342     | 0.06445      | 4.35          | 0.01024      | 0.01041     | 0.002429       | 0.998                  | 0.002175     | 1.5    | -480179.3384   |
| COMBOUSDT     | 0.004024      | 0.002684    | 0.05008      | 19.72         | 0.01152      | 0.0101      | 0.02936        | 0.9925                 | 0.001187     | 28.5   | -480179.304024 |
| EDUUSDT       | 0.003556      | 0.003043    | 0.06         | 32.72         | 0.01072      | 0.009001    | 0.0006253      | 0.9862                 | 0.001622     | 61.5   | -480179.303556 |
| RNDRUSDT      | 0.003017      | 0.003406    | 0.06882      | 48.55         | 0.01491      | 0.01096     | 0.002498       | 0.9717                 | 0.002758     | 147.89 | -480179.303017 |
| 1000FLOKIUSDT | 0.002865      | 0.00178     | 0.05186      | 49.63         | 0.01084      | 0.008799    | 0.003008       | 0.9891                 | 0.001384     | 55.31  | -480179.302865 |
| 1000PEPEUSDT  | 0.00234       | 0.004262    | 0.06633      | 38.9          | 0.0126       | 0.01628     | 0.0162         | 0.9418                 | 0.007137     | 56.31  | -480179.30234  |
| AMBUSDT       | 0.002249      | 0.002078    | 0.06939      | 24.27         | 0.01426      | 0.01099     | 0.03355        | 0.9624                 | 0.003302     | 92.5   | -480179.302249 |
| BLURUSDT      | 0.00214       | 0.00213     | 0.0657       | 32.23         | 0.01042      | 0.008629    | 0.007675       | 0.989                  | 0.001304     | 63.5   | -480179.30214  |
| UMAUSDT       | 0.002063      | 0.001993    | 0.02998      | 41.67         | 0.01067      | 0.008528    | 0.03255        | 0.9942                 | 0.0007534    | 51.48  | -480179.302063 |
| IDUSDT        | 0.001999      | 0.001916    | 0.04842      | 64.92         | 0.01293      | 0.01057     | 0.003086       | 0.9904                 | 0.001059     | 99.39  | -480179.301999 |
| RADUSDT       | 0.001892      | 0.001483    | 0.0595       | 29.52         | 0.01077      | 0.009163    | 0.07877        | 0.9839                 | 0.001797     | 51.5   | -480179.301892 |
| HIGHUSDT      | 0.001886      | 0.002101    | 0.04783      | 31.6          | 0.01083      | 0.009521    | 0.01024        | 0.9666                 | 0.002807     | 143.89 | -480179.301886 |
| KEYUSDT       | 0.001873      | 0.001875    | 0.05216      | 28.18         | 0.01562      | 0.01501     | 0.004241       | 0.9626                 | 0.004452     | 37.5   | -480179.301873 |
| CFXUSDT       | 0.001861      | 0.002303    | 0.05043      | 23.2          | 0.01251      | 0.01072     | 0.02305        | 0.9678                 | 0.002614     | 130.39 | -480179.301861 |
| HOTUSDT       | 0.00185       | 0.002191    | 0.06995      | 71.08         | 0.01054      | 0.01226     | 0.01632        | 0.9331                 | 0.004306     | 791.0  | -480179.30185  |
| HFTUSDT       | 0.001846      | 0.001773    | 0.05018      | 40.8          | 0.01048      | 0.007917    | 0.02045        | 0.9924                 | 0.0009413    | 85.5   | -480179.301846 |
| LQTYUSDT      | 0.001807      | 0.001978    | 0.06924      | 41.17         | 0.01301      | 0.0121      | 0.002683       | 0.9721                 | 0.002743     | 112.5  | -480179.301807 |
| OMGUSDT       | 0.001786      | 0.002229    | 0.06589      | 61.8          | 0.01116      | 0.01595     | 0.05793        | 0.8886                 | 0.006427     | 791.0  | -480179.301786 |
| DENTUSDT      | 0.00178       | 0.002129    | 0.06693      | 62.13         | 0.01267      | 0.01425     | 0.01015        | 0.9158                 | 0.004942     | 791.0  | -480179.30178  |
| ICXUSDT       | 0.001771      | 0.001711    | 0.06383      | 50.22         | 0.01202      | 0.01655     | 0.06543        | 0.8784                 | 0.005526     | 791.0  | -480179.301771 |
| OCEANUSDT     | 0.001765      | 0.001813    | 0.06115      | 52.67         | 0.01231      | 0.01427     | 0.008206       | 0.913                  | 0.004428     | 791.0  | -480179.301765 |
| INJUSDT       | 0.001718      | 0.001766    | 0.05769      | 49.02         | 0.0117       | 0.01119     | 0.02946        | 0.9555                 | 0.003482     | 317.88 | -480179.301718 |
| CELRUSDT      | 0.001715      | 0.002457    | 0.06812      | 63.75         | 0.01629      | 0.0155      | 0.05364        | 0.9142                 | 0.005392     | 791.0  | -480179.301715 |
| FETUSDT       | 0.001696      | 0.001653    | 0.04508      | 40.98         | 0.01257      | 0.01103     | 0.005955       | 0.9786                 | 0.001617     | 164.89 | -480179.301696 |
| NKNUSDT       | 0.001689      | 0.002172    | 0.06992      | 58.13         | 0.01379      | 0.01597     | 0.01338        | 0.8986                 | 0.006332     | 791.0  | -480179.301689 |
| GRTUSDT       | 0.001676      | 0.002228    | 0.0678       | 80.55         | 0.01272      | 0.01847     | 0.0416         | 0.8557                 | 0.007291     | 791.0  | -480179.301676 |
| BELUSDT       | 0.001665      | 0.001925    | 0.06089      | 57.83         | 0.01148      | 0.01445     | 0.01356        | 0.9135                 | 0.005121     | 791.0  | -480179.301665 |
| TUSDT         | 0.00166       | 0.00155     | 0.04033      | 42.07         | 0.007998     | 0.006925    | 0.04318        | 0.9906                 | 0.0008366    | 149.46 | -480179.30166  |
| HOOKUSDT      | 0.001657      | 0.001797    | 0.0426       | 30.43         | 0.0109       | 0.009881    | 0.01704        | 0.983                  | 0.00126      | 158.87 | -480179.301657 |
| BNXUSDT       | 0.001654      | 0.001632    | 0.06513      | 40.9          | 0.01305      | 0.01226     | 0.007579       | 0.9805                 | 0.001614     | 128.38 | -480179.301654 |
| 1000LUNCUSDT  | 0.001592      | 0.001748    | 0.05985      | 57.95         | 0.007067     | 0.009448    | 0.006252       | 0.9498                 | 0.003718     | 294.46 | -480179.301592 |
| ATOMUSDT      | 0.001586      | 0.001831    | 0.06513      | 66.77         | 0.01129      | 0.01226     | 0.02853        | 0.9229                 | 0.003319     | 791.0  | -480179.301586 |
| ANKRUSDT      | 0.001544      | 0.001942    | 0.06857      | 72.02         | 0.0101       | 0.01462     | 0.02648        | 0.8911                 | 0.006027     | 791.0  | -480179.301544 |
| QNTUSDT       | 0.001529      | 0.0008643   | 0.06903      | 87.82         | 0.01254      | 0.01111     | 0.09382        | 0.9689                 | 0.002968     | 253.89 | -480179.301529 |
| IMXUSDT       | 0.001514      | 0.002203    | 0.0563       | 47.03         | 0.01009      | 0.01092     | 0.03648        | 0.9363                 | 0.004113     | 504.85 | -480179.301514 |
| ARBUSDT       | 0.001512      | 0.001676    | 0.06028      | 48.58         | 0.008002     | 0.009304    | 0.003802       | 0.9683                 | 0.003547     | 99.37  | -480179.301512 |
| VETUSDT       | 0.0015        | 0.002069    | 0.06957      | 69.08         | 0.01177      | 0.0148      | 0.0158         | 0.8968                 | 0.004992     | 791.0  | -480179.3015   |
| OPUSDT        | 0.001498      | 0.00168     | 0.06317      | 24.05         | 0.01011      | 0.01043     | 0.01201        | 0.9479                 | 0.004207     | 394.41 | -480179.301498 |
| CRVUSDT       | 0.001492      | 0.001421    | 0.0619       | 61.07         | 0.01202      | 0.01567     | 0.01141        | 0.904                  | 0.005479     | 791.0  | -480179.301492 |
| DOGEUSDT      | 0.00149       | 0.002574    | 0.06723      | 57.58         | 0.007064     | 0.01067     | 0.01326        | 0.9242                 | 0.00429      | 791.0  | -480179.30149  |
| STXUSDT       | 0.001488      | 0.001829    | 0.06484      | 66.15         | 0.01042      | 0.008611    | 0.004432       | 0.9777                 | 0.002276     | 129.39 | -480179.301488 |
| RLCUSDT       | 0.001477      | 0.002394    | 0.06309      | 49.62         | 0.01008      | 0.01423     | 0.0088         | 0.9097                 | 0.005945     | 791.0  | -480179.301477 |
| LITUSDT       | 0.001452      | 0.001591    | 0.06273      | 42.38         | 0.01691      | 0.0159      | 0.03415        | 0.9468                 | 0.003883     | 791.0  | -480179.301452 |
| MAGICUSDT     | 0.001444      | 0.00228     | 0.03566      | 57.32         | 0.009608     | 0.007994    | 0.03012        | 0.9816                 | 0.001367     | 156.87 | -480179.301444 |
| ICPUSDT       | 0.001437      | 0.0006449   | 0.04609      | 46.35         | 0.01382      | 0.01202     | 0.09473        | 0.9791                 | 0.001444     | 276.89 | -480179.301437 |
| COTIUSDT      | 0.001418      | 0.002195    | 0.05835      | 45.32         | 0.01016      | 0.01286     | 0.04322        | 0.8801                 | 0.004881     | 791.0  | -480179.301418 |
| TOMOUSDT      | 0.001393      | 0.001544    | 0.0613       | 66.78         | 0.01452      | 0.01523     | 0.02153        | 0.9157                 | 0.00497      | 791.0  | -480179.301393 |
| RDNTUSDT      | 0.001391      | 0.001388    | 0.06174      | 25.17         | 0.01237      | 0.01106     | 0.009883       | 0.9814                 | 0.001973     | 86.5   | -480179.301391 |
| TRBUSDT       | 0.001387      | 0.001682    | 0.06636      | 30.27         | 0.01956      | 0.01842     | 0.07256        | 0.9071                 | 0.005119     | 791.0  | -480179.301387 |
| MATICUSDT     | 0.001384      | 0.002141    | 0.06334      | 35.38         | 0.0102       | 0.01535     | 0.02535        | 0.9142                 | 0.006461     | 791.0  | -480179.301384 |
| LINAUSDT      | 0.001379      | 0.001448    | 0.06697      | 58.63         | 0.01603      | 0.01759     | 0.0238         | 0.91                   | 0.006841     | 791.0  | -480179.301379 |
| MTLUSDT       | 0.001368      | 0.001258    | 0.06391      | 46.7          | 0.01575      | 0.01759     | 0.0288         | 0.9195                 | 0.00493      | 791.0  | -480179.301368 |
| STMXUSDT      | 0.001354      | 0.001214    | 0.06865      | 55.27         | 0.01622      | 0.01836     | 0.03007        | 0.8976                 | 0.006719     | 791.0  | -480179.301354 |
| PEOPLEUSDT    | 0.001342      | 0.001914    | 0.06475      | 43.65         | 0.01355      | 0.01319     | 0.009874       | 0.9451                 | 0.003897     | 553.83 | -480179.301342 |
| APTUSDT       | 0.001337      | 0.001523    | 0.06907      | 50.6          | 0.01225      | 0.0157      | 0.03774        | 0.9253                 | 0.0059       | 254.92 | -480179.301337 |
| NEARUSDT      | 0.001329      | 0.001754    | 0.06849      | 51.93         | 0.01118      | 0.01397     | 0.008062       | 0.9062                 | 0.005355     | 791.0  | -480179.301329 |
| MANAUSDT      | 0.001327      | 0.001709    | 0.06574      | 76.95         | 0.0108       | 0.0126      | 0.02857        | 0.9188                 | 0.00499      | 791.0  | -480179.301327 |
| LDOUSDT       | 0.001307      | 0.001125    | 0.06685      | 58.45         | 0.01829      | 0.01552     | 0.03954        | 0.9269                 | 0.00436      | 281.5  | -480179.301307 |
| RVNUSDT       | 0.001307      | 0.001507    | 0.06963      | 65.68         | 0.01272      | 0.0174      | 0.01124        | 0.8833                 | 0.007005     | 791.0  | -480179.301307 |
| IDEXUSDT      | 0.001294      | 0.001908    | 0.05696      | 35.88         | 0.01309      | 0.01176     | 0.0005996      | 0.9888                 | 0.001329     | 58.5   | -480179.301294 |
| BANDUSDT      | 0.001286      | 0.001665    | 0.06697      | 51.85         | 0.01481      | 0.01853     | 0.01536        | 0.8701                 | 0.007186     | 791.0  | -480179.301286 |
| ASTRUSDT      | 0.001267      | 0.001716    | 0.04857      | 32.45         | 0.009807     | 0.008974    | 0.004888       | 0.9869                 | 0.001166     | 136.89 | -480179.301267 |
| ALICEUSDT     | 0.001243      | 0.001709    | 0.06252      | 28.02         | 0.00999      | 0.01303     | 0.01234        | 0.8866                 | 0.005224     | 791.0  | -480179.301243 |
| ARPAUSDT      | 0.001243      | 0.001372    | 0.06215      | 41.15         | 0.01175      | 0.01121     | 0.02181        | 0.9373                 | 0.003419     | 619.85 | -480179.301243 |
| DOTUSDT       | 0.001236      | 0.001856    | 0.0682       | 93.57         | 0.009918     | 0.01347     | 0.03534        | 0.9157                 | 0.005312     | 791.0  | -480179.301236 |
| RENUSDT       | 0.001233      | 0.001359    | 0.06664      | 52.95         | 0.01944      | 0.01995     | 0.04525        | 0.8857                 | 0.007514     | 791.0  | -480179.301233 |
| WOOUSDT       | 0.001229      | 0.001591    | 0.04753      | 37.22         | 0.01124      | 0.01226     | 0.05492        | 0.925                  | 0.004732     | 448.85 | -480179.301229 |
| SFPUSDT       | 0.001229      | 0.001255    | 0.06588      | 55.9          | 0.01609      | 0.01746     | 0.01974        | 0.8865                 | 0.005673     | 791.0  | -480179.301229 |
| KAVAUSDT      | 0.001225      | 0.00156     | 0.04508      | 74.82         | 0.01413      | 0.01217     | 0.0983         | 0.9607                 | 0.002121     | 791.0  | -480179.301225 |
| CTSIUSDT      | 0.001223      | 0.001356    | 0.05341      | 52.43         | 0.01624      | 0.01909     | 0.03739        | 0.8955                 | 0.007334     | 612.85 | -480179.301223 |
| ZECUSDT       | 0.00122       | 0.001376    | 0.06833      | 79.9          | 0.01148      | 0.01112     | 0.01365        | 0.9377                 | 0.00382      | 791.0  | -480179.30122  |
| RUNEUSDT      | 0.00122       | 0.00197     | 0.06987      | 55.73         | 0.0133       | 0.01368     | 0.03511        | 0.9312                 | 0.004586     | 791.0  | -480179.30122  |
| SKLUSDT       | 0.001218      | 0.001819    | 0.06543      | 46.55         | 0.01387      | 0.01976     | 0.04048        | 0.8845                 | 0.008063     | 791.0  | -480179.301218 |
| SPELLUSDT     | 0.001216      | 0.001242    | 0.0633       | 48.0          | 0.009194     | 0.0106      | 0.01464        | 0.9559                 | 0.004134     | 297.5  | -480179.301216 |
| MINAUSDT      | 0.00121       | 0.001459    | 0.06268      | 40.4          | 0.007628     | 0.007259    | 0.0219         | 0.9769                 | 0.002218     | 143.54 | -480179.30121  |
| ALGOUSDT      | 0.001208      | 0.00134     | 0.05297      | 44.47         | 0.01001      | 0.01231     | 0.01821        | 0.9265                 | 0.004665     | 791.0  | -480179.301208 |
| AGIXUSDT      | 0.001205      | 0.001781    | 0.05231      | 23.58         | 0.0102       | 0.008494    | 0.007215       | 0.974                  | 0.002036     | 134.4  | -480179.301205 |
| ADAUSDT       | 0.001203      | 0.00137     | 0.06619      | 58.9          | 0.01183      | 0.01733     | 0.02475        | 0.9063                 | 0.007174     | 791.0  | -480179.301203 |
| TLMUSDT       | 0.001196      | 0.0009963   | 0.04607      | 23.93         | 0.007644     | 0.006564    | 0.01038        | 0.9865                 | 0.001218     | 92.48  | -480179.301196 |
| THETAUSDT     | 0.001181      | 0.001668    | 0.05949      | 43.7          | 0.01116      | 0.01731     | 0.01046        | 0.8737                 | 0.006843     | 791.0  | -480179.301181 |
| ENJUSDT       | 0.00118       | 0.001018    | 0.05654      | 58.7          | 0.01912      | 0.01834     | 0.03014        | 0.9356                 | 0.00284      | 791.0  | -480179.30118  |
| MKRUSDT       | 0.001178      | 0.001861    | 0.06902      | 75.87         | 0.01111      | 0.01354     | 0.05254        | 0.8984                 | 0.005563     | 791.0  | -480179.301178 |
| APEUSDT       | 0.001163      | 0.001605    | 0.05016      | 55.82         | 0.01083      | 0.01029     | 0.0425         | 0.9587                 | 0.002598     | 470.37 | -480179.301163 |
| LUNA2USDT     | 0.001153      | 0.001131    | 0.06064      | 37.9          | 0.01389      | 0.01409     | 0.03701        | 0.9428                 | 0.004802     | 293.87 | -480179.301153 |
| XMRUSDT       | 0.001152      | 0.001201    | 0.06981      | 43.22         | 0.009878     | 0.01019     | 0.008668       | 0.9486                 | 0.002516     | 791.0  | -480179.301152 |
