+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                          long                                                                                          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol    | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| NKNUSDT   | 0.001839      | 0.002057    | 0.06963      | 54.02         | 0.01525      | 0.01874     | 0.0279         | 0.8974                 | 0.006311     | 791.0  | -480179.301839 |
| ALICEUSDT | 0.001798      | 0.002057    | 0.0697       | 21.55         | 0.009731     | 0.01263     | 0.03804        | 0.9075                 | 0.003946     | 791.0  | -480179.301798 |
| DOGEUSDT  | 0.00171       | 0.001798    | 0.0581       | 40.88         | 0.01199      | 0.01061     | 0.03893        | 0.97                   | 0.001578     | 791.0  | -480179.30171  |
| OMGUSDT   | 0.001682      | 0.001808    | 0.06998      | 62.73         | 0.01241      | 0.01388     | 0.04784        | 0.9455                 | 0.004461     | 791.0  | -480179.301682 |
| XRPUSDT   | 0.001662      | 0.002825    | 0.06969      | 46.97         | 0.006723     | 0.01009     | 0.01363        | 0.9164                 | 0.003467     | 791.0  | -480179.301662 |
| OCEANUSDT | 0.001658      | 0.00181     | 0.06783      | 50.52         | 0.01566      | 0.01905     | 0.03368        | 0.9131                 | 0.005154     | 791.0  | -480179.301658 |
| ICXUSDT   | 0.001644      | 0.001649    | 0.06774      | 50.13         | 0.01369      | 0.01654     | 0.04601        | 0.9121                 | 0.005085     | 791.0  | -480179.301644 |
| TOMOUSDT  | 0.001602      | 0.001814    | 0.06969      | 51.68         | 0.01318      | 0.01558     | 0.01073        | 0.9057                 | 0.00435      | 791.0  | -480179.301602 |
| HOTUSDT   | 0.001569      | 0.002577    | 0.06936      | 65.68         | 0.00898      | 0.01456     | 0.03318        | 0.8912                 | 0.004661     | 791.0  | -480179.301569 |
| TRBUSDT   | 0.001564      | 0.00168     | 0.06341      | 56.65         | 0.01977      | 0.0181      | 0.07125        | 0.9329                 | 0.003452     | 791.0  | -480179.301564 |
| RLCUSDT   | 0.001563      | 0.001731    | 0.06905      | 44.38         | 0.01404      | 0.01557     | 0.01373        | 0.9233                 | 0.00474      | 791.0  | -480179.301563 |
| RUNEUSDT  | 0.001552      | 0.001962    | 0.06916      | 56.73         | 0.01173      | 0.01453     | 0.01358        | 0.9253                 | 0.004466     | 791.0  | -480179.301552 |
| BELUSDT   | 0.001552      | 0.001837    | 0.06997      | 56.63         | 0.01472      | 0.01686     | 0.007928       | 0.9248                 | 0.005244     | 791.0  | -480179.301552 |
| MTLUSDT   | 0.001541      | 0.001546    | 0.06806      | 24.97         | 0.01659      | 0.0164      | 0.04344        | 0.9157                 | 0.003946     | 791.0  | -480179.301541 |
| CHZUSDT   | 0.001527      | 0.001791    | 0.0665       | 44.15         | 0.01171      | 0.01439     | 0.02175        | 0.9178                 | 0.003983     | 791.0  | -480179.301527 |
| DENTUSDT  | 0.001492      | 0.002044    | 0.06774      | 63.55         | 0.00982      | 0.01486     | 0.01227        | 0.8912                 | 0.003993     | 791.0  | -480179.301492 |
