+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| MAVUSDT       | 0.01152       | 0.009425    | 0.01723      | 2.15          | 0.005902     | 0.003595    | 0.0            | 0.9998                 | 0.0001262    | 1.46   | -240179.261517 |
| COMBOUSDT     | 0.002929      | 0.00165     | 0.06483      | 40.9          | 0.01386      | 0.01877     | 0.0            | 0.9383                 | 0.008999     | 28.46  | -240179.252929 |
| EDUUSDT       | 0.002571      | 0.001673    | 0.04447      | 45.52         | 0.01135      | 0.009795    | 0.0            | 0.9863                 | 0.001654     | 61.46  | -240179.252571 |
| RNDRUSDT      | 0.001718      | 0.002469    | 0.05877      | 52.28         | 0.01219      | 0.0136      | 0.0            | 0.9451                 | 0.00497      | 147.88 | -240179.251718 |
| BLURUSDT      | 0.00167       | 0.0009524   | 0.03804      | 28.97         | 0.00983      | 0.007648    | 0.0            | 0.9896                 | 0.001221     | 63.46  | -240179.25167  |
| STXUSDT       | 0.001647      | 0.002069    | 0.07236      | 52.93         | 0.01344      | 0.01267     | 0.0            | 0.9608                 | 0.003687     | 129.38 | -240179.251647 |
| HIGHUSDT      | 0.001642      | 0.001326    | 0.03396      | 47.65         | 0.01371      | 0.01215     | 0.0            | 0.9474                 | 0.003604     | 143.88 | -240179.251642 |
| 1000LUNCUSDT  | 0.001589      | 0.002123    | 0.03529      | 75.25         | 0.007797     | 0.008429    | 0.0            | 0.9437                 | 0.002737     | 294.42 | -240179.251589 |
| 1000PEPEUSDT  | 0.001587      | 0.003094    | 0.06428      | 57.63         | 0.01236      | 0.01221     | 0.0            | 0.9671                 | 0.00439      | 56.29  | -240179.251587 |
| RDNTUSDT      | 0.001573      | 0.00148     | 0.05843      | 42.85         | 0.01117      | 0.01112     | 0.0            | 0.9572                 | 0.004289     | 86.46  | -240179.251573 |
| FETUSDT       | 0.001434      | 0.001601    | 0.03625      | 36.22         | 0.01008      | 0.007927    | 0.0            | 0.9681                 | 0.001909     | 164.88 | -240179.251434 |
| ALPHAUSDT     | 0.001408      | 0.001665    | 0.06273      | 52.4          | 0.01158      | 0.01505     | 0.0            | 0.8412                 | 0.006144     | 790.96 | -240179.251408 |
| NKNUSDT       | 0.001402      | 0.002225    | 0.0749       | 95.77         | 0.01366      | 0.01367     | 0.0            | 0.913                  | 0.005188     | 790.96 | -240179.251402 |
| KEYUSDT       | 0.001385      | 0.001555    | 0.06081      | 41.25         | 0.0149       | 0.01728     | 0.0            | 0.954                  | 0.005563     | 37.46  | -240179.251385 |
| AMBUSDT       | 0.001338      | 0.001119    | 0.06267      | 69.83         | 0.01744      | 0.01764     | 0.0            | 0.9178                 | 0.006192     | 92.46  | -240179.251338 |
| GRTUSDT       | 0.001323      | 0.001924    | 0.06624      | 94.15         | 0.01232      | 0.01924     | 0.0            | 0.852                  | 0.007471     | 790.96 | -240179.251323 |
| MKRUSDT       | 0.001272      | 0.002034    | 0.07051      | 91.57         | 0.0129       | 0.01697     | 0.0            | 0.8874                 | 0.006635     | 790.96 | -240179.251272 |
| RADUSDT       | 0.001242      | 0.001441    | 0.07307      | 53.2          | 0.01392      | 0.01576     | 0.0            | 0.9425                 | 0.006654     | 51.46  | -240179.251242 |
| UMAUSDT       | 0.001201      | 0.001099    | 0.06519      | 49.8          | 0.01075      | 0.01067     | 0.0            | 0.9567                 | 0.004249     | 51.46  | -240179.251201 |
| CELRUSDT      | 0.001192      | 0.002141    | 0.07363      | 83.4          | 0.01474      | 0.01487     | 0.0            | 0.8647                 | 0.005557     | 790.96 | -240179.251192 |
| INJUSDT       | 0.001188      | 0.001259    | 0.02643      | 73.03         | 0.009135     | 0.007734    | 0.0            | 0.9855                 | 0.001048     | 317.88 | -240179.251188 |
| CFXUSDT       | 0.001147      | 0.001525    | 0.03618      | 64.52         | 0.01411      | 0.01114     | 0.0            | 0.9774                 | 0.001775     | 130.38 | -240179.251147 |
| IDUSDT        | 0.001129      | 0.001138    | 0.03425      | 76.35         | 0.01622      | 0.01176     | 0.0            | 0.9802                 | 0.001509     | 99.38  | -240179.251129 |
| TOMOUSDT      | 0.001127      | 0.001329    | 0.06487      | 95.98         | 0.01663      | 0.01946     | 0.0            | 0.8918                 | 0.006239     | 790.96 | -240179.251127 |
| ALICEUSDT     | 0.001113      | 0.002054    | 0.05575      | 81.6          | 0.01244      | 0.01473     | 0.0            | 0.8824                 | 0.004664     | 790.96 | -240179.251113 |
| ARBUSDT       | 0.001113      | 0.001417    | 0.06819      | 48.15         | 0.009919     | 0.00973     | 0.0            | 0.971                  | 0.002903     | 99.33  | -240179.251113 |
| LDOUSDT       | 0.001111      | 0.001484    | 0.05337      | 71.9          | 0.01361      | 0.01142     | 0.0            | 0.9794                 | 0.002032     | 281.46 | -240179.251111 |
| 1000FLOKIUSDT | 0.00109       | 0.0008399   | 0.07151      | 74.88         | 0.01402      | 0.01847     | 0.0            | 0.946                  | 0.009013     | 55.29  | -240179.25109  |
| ICPUSDT       | 0.00108       | 0.001177    | 0.04066      | 63.9          | 0.008974     | 0.007996    | 0.0            | 0.9785                 | 0.001453     | 276.88 | -240179.25108  |
| AGIXUSDT      | 0.001074      | 0.001326    | 0.07244      | 76.4          | 0.01764      | 0.01814     | 0.0            | 0.9451                 | 0.007359     | 134.38 | -240179.251074 |
| OPUSDT        | 0.001073      | 0.001605    | 0.05473      | 74.15         | 0.01403      | 0.01874     | 0.0            | 0.8969                 | 0.00616      | 394.38 | -240179.251073 |
| LINAUSDT      | 0.001067      | 0.001254    | 0.04753      | 85.77         | 0.01707      | 0.01888     | 0.0            | 0.8986                 | 0.006259     | 790.96 | -240179.251067 |
