+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| TLMUSDT      | 0.08903                   | 15.15         | 0.02299          | 0.009425        | 0.0               | 1.003                        | 0.006746        | 1.46   | -56012.58902876955  |
| JOEUSDT      | 0.07769                   | 5.583         | 0.01056          | 0.009178        | 0.0               | 0.9991                       | 0.002864        | 2.46   | -56012.57769166186  |
| ARBUSDT      | 0.05671                   | 22.72         | 0.01535          | 0.01125         | 0.2417            | 0.9514                       | 0.007886        | 8.33   | -56012.556708383345 |
| IDUSDT       | 0.03416                   | 31.92         | 0.01812          | 0.01363         | 0.1288            | 0.9772                       | 0.007024        | 8.38   | -56012.5341648411   |
| LQTYUSDT     | 0.02068                   | 41.05         | 0.01275          | 0.01252         | 0.2333            | 0.9469                       | 0.008895        | 21.46  | -56012.520679522975 |
| SSVUSDT      | 0.01702                   | 12.48         | 0.009326         | 0.01013         | 0.006252          | 0.9574                       | 0.00939         | 35.46  | -56012.517017752165 |
| MAGICUSDT    | 0.01542                   | 19.13         | 0.008914         | 0.009564        | 0.2456            | 0.9494                       | 0.008273        | 65.83  | -56012.51542212472  |
| FETUSDT      | 0.01004                   | 45.42         | 0.0131           | 0.01192         | 0.09596           | 0.9381                       | 0.009693        | 73.88  | -56012.51003990107  |
| MINAUSDT     | 0.009781                  | 16.5          | 0.008319         | 0.009238        | 0.148             | 0.9527                       | 0.00823         | 52.5   | -56012.509781426925 |
| CKBUSDT      | 0.009766                  | 65.6          | 0.01286          | 0.009964        | 0.001087          | 0.9411                       | 0.005593        | 31.46  | -56012.509766284915 |
| ACHUSDT      | 0.009622                  | 19.57         | 0.01695          | 0.01584         | 0.171             | 0.9402                       | 0.009664        | 37.38  | -56012.50962237449  |
| TRUUSDT      | 0.009386                  | 66.33         | 0.01667          | 0.01369         | 0.005631          | 0.9627                       | 0.008935        | 24.46  | -56012.50938592131  |
| RNDRUSDT     | 0.008047                  | 28.13         | 0.012            | 0.01142         | 0.06881           | 0.9563                       | 0.005953        | 56.88  | -56012.50804746999  |
| AGIXUSDT     | 0.007934                  | 24.45         | 0.01             | 0.01218         | 0.08962           | 0.9224                       | 0.007848        | 43.38  | -56012.50793409464  |
| CFXUSDT      | 0.007881                  | 19.92         | 0.01617          | 0.01329         | 0.2726            | 0.9227                       | 0.00705         | 39.38  | -56012.507881167214 |
| HIGHUSDT     | 0.007531                  | 47.58         | 0.0175           | 0.01282         | 0.1583            | 0.9429                       | 0.009046        | 52.88  | -56012.50753111094  |
