+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| SOLUSDT      | 0.003522                  | 51.53         | 0.009954         | 0.01279         | 0.2992            | 0.8347                       | 0.008406        | 713.96 | -56012.50352202107  |
| 1000SHIBUSDT | 0.003227                  | 93.47         | 0.008306         | 0.0139          | 0.295             | 0.8099                       | 0.009938        | 704.25 | -56012.50322725794  |
| HNTUSDT      | 0.003012                  | 64.87         | 0.0118           | 0.0139          | 0.1257            | 0.8241                       | 0.008773        | 713.96 | -56012.50301227145  |
| BANDUSDT     | 0.002826                  | 74.4          | 0.01318          | 0.01232         | 0.1711            | 0.8039                       | 0.007619        | 713.96 | -56012.502826166354 |
| MATICUSDT    | 0.002689                  | 84.1          | 0.009057         | 0.01211         | 0.2099            | 0.8774                       | 0.009907        | 713.96 | -56012.50268935674  |
| OCEANUSDT    | 0.002311                  | 53.78         | 0.01029          | 0.01488         | 0.2243            | 0.8136                       | 0.009124        | 713.96 | -56012.50231116844  |
| SKLUSDT      | 0.002278                  | 69.7          | 0.01194          | 0.01184         | 0.1138            | 0.853                        | 0.0075          | 713.96 | -56012.50227828244  |
| DOGEUSDT     | 0.002266                  | 55.62         | 0.007328         | 0.01637         | 0.2931            | 0.776                        | 0.009483        | 713.96 | -56012.50226612692  |
| RLCUSDT      | 0.002231                  | 61.62         | 0.01339          | 0.01546         | 0.05788           | 0.84                         | 0.009537        | 713.96 | -56012.502231100705 |
| SANDUSDT     | 0.002227                  | 57.88         | 0.008992         | 0.02203         | 0.1408            | 0.7687                       | 0.009615        | 713.96 | -56012.50222704718  |
| ANKRUSDT     | 0.002166                  | 77.4          | 0.009826         | 0.01303         | 0.2947            | 0.8569                       | 0.009559        | 713.96 | -56012.50216553449  |
| MANAUSDT     | 0.002123                  | 38.33         | 0.006998         | 0.01651         | 0.2247            | 0.8153                       | 0.009468        | 713.96 | -56012.5021230993   |
