+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| 1000SHIBUSDT | 0.0009281                 | 77.02         | 0.006142         | 0.02289         | 0.01601           | 0.7446                       | 0.008559        | 711.25 | -56012.500928137655 |
| OCEANUSDT    | 0.0008499                 | 48.33         | 0.009929         | 0.01042         | 0.1288            | 0.8652                       | 0.004693        | 720.96 | -56012.50084994528  |
| SOLUSDT      | 0.0007689                 | 77.35         | 0.01133          | 0.01114         | 0.07481           | 0.8936                       | 0.005089        | 720.96 | -56012.50076894871  |
| WAVESUSDT    | 0.0007617                 | 63.48         | 0.009769         | 0.01081         | 0.1089            | 0.8427                       | 0.005311        | 720.96 | -56012.50076167031  |
| EOSUSDT      | 0.00074                   | 82.63         | 0.00836          | 0.008198        | 0.1139            | 0.9105                       | 0.003149        | 720.96 | -56012.50074004743  |
| CELRUSDT     | 0.0007355                 | 81.6          | 0.01023          | 0.01251         | 0.07644           | 0.8297                       | 0.006257        | 720.96 | -56012.500735452864 |
| RSRUSDT      | 0.0007128                 | 49.95         | 0.01094          | 0.01899         | 0.2538            | 0.7302                       | 0.009338        | 720.96 | -56012.500712818306 |
| DEFIUSDT     | 0.0006959                 | 81.62         | 0.009601         | 0.009866        | 0.2665            | 0.8863                       | 0.004633        | 720.96 | -56012.5006958969   |
| BANDUSDT     | 0.0006891                 | 48.45         | 0.01026          | 0.01301         | 0.2422            | 0.8222                       | 0.006577        | 720.96 | -56012.50068914489  |
| MKRUSDT      | 0.0006803                 | 66.2          | 0.009986         | 0.009766        | 0.04188           | 0.8674                       | 0.00388         | 720.96 | -56012.50068029114  |
| GRTUSDT      | 0.0006783                 | 51.4          | 0.0104           | 0.01764         | 0.1479            | 0.7495                       | 0.008917        | 720.96 | -56012.500678302895 |
| THETAUSDT    | 0.0006287                 | 57.88         | 0.01018          | 0.01216         | 0.2508            | 0.86                         | 0.006556        | 720.96 | -56012.500628684356 |
| YFIUSDT      | 0.0006207                 | 90.42         | 0.009451         | 0.01002         | 0.07724           | 0.8739                       | 0.004295        | 720.96 | -56012.50062070406  |
| COTIUSDT     | 0.0006172                 | 48.8          | 0.009904         | 0.01205         | 0.1489            | 0.829                        | 0.005976        | 720.96 | -56012.50061717017  |
| SUSHIUSDT    | 0.000608                  | 50.32         | 0.009796         | 0.01211         | 0.0488            | 0.8085                       | 0.005607        | 720.96 | -56012.50060801061  |
| CHZUSDT      | 0.0006062                 | 60.27         | 0.008426         | 0.01101         | 0.0               | 0.9225                       | 0.003534        | 720.96 | -56012.50060624047  |
| SKLUSDT      | 0.0006045                 | 72.13         | 0.01073          | 0.01262         | 0.2511            | 0.8529                       | 0.00633         | 720.96 | -56012.50060446319  |
| ALPHAUSDT    | 0.0005931                 | 51.08         | 0.00962          | 0.008473        | 0.07063           | 0.9378                       | 0.00282         | 720.96 | -56012.50059313956  |
| NKNUSDT      | 0.0005788                 | 59.35         | 0.009937         | 0.01126         | 0.2234            | 0.8654                       | 0.005515        | 720.96 | -56012.500578759194 |
| REEFUSDT     | 0.0005774                 | 46.78         | 0.009056         | 0.00936         | 0.0921            | 0.8899                       | 0.004047        | 720.96 | -56012.5005773944   |
| SNXUSDT      | 0.0005769                 | 50.75         | 0.01079          | 0.01081         | 0.2606            | 0.8818                       | 0.005347        | 720.96 | -56012.50057689405  |
| ZILUSDT      | 0.0005671                 | 53.48         | 0.009168         | 0.008311        | 0.08917           | 0.926                        | 0.003048        | 720.96 | -56012.50056708243  |
| LRCUSDT      | 0.0005643                 | 73.7          | 0.01037          | 0.01631         | 0.1875            | 0.7482                       | 0.008052        | 720.96 | -56012.50056434686  |
| MANAUSDT     | 0.0005587                 | 51.92         | 0.008966         | 0.009114        | 0.06163           | 0.8998                       | 0.003401        | 720.96 | -56012.50055865881  |
| ONEUSDT      | 0.0005581                 | 59.93         | 0.01029          | 0.01133         | 0.2615            | 0.851                        | 0.005757        | 720.96 | -56012.50055809064  |
| MATICUSDT    | 0.00055                   | 74.3          | 0.009854         | 0.008971        | 0.09774           | 0.9074                       | 0.003846        | 720.96 | -56012.50055004764  |
| DOGEUSDT     | 0.0005445                 | 67.9          | 0.00763          | 0.006918        | 0.0003799         | 0.9522                       | 0.001825        | 720.96 | -56012.5005445196   |
| AVAXUSDT     | 0.0005314                 | 93.8          | 0.01153          | 0.01544         | 0.1626            | 0.7776                       | 0.00844         | 720.96 | -56012.50053136064  |
| RVNUSDT      | 0.0005037                 | 77.17         | 0.009827         | 0.01497         | 0.2957            | 0.7836                       | 0.007441        | 720.96 | -56012.5005037496   |
| HOTUSDT      | 0.0005021                 | 77.23         | 0.008433         | 0.007467        | 0.01841           | 0.9382                       | 0.002141        | 720.96 | -56012.50050208435  |
| RUNEUSDT     | 0.0004973                 | 76.83         | 0.0104           | 0.009033        | 0.113             | 0.9069                       | 0.003734        | 720.96 | -56012.50049731709  |
| SANDUSDT     | 0.0004929                 | 67.95         | 0.009972         | 0.0138          | 0.2875            | 0.7937                       | 0.007269        | 720.96 | -56012.50049291867  |
| HBARUSDT     | 0.0004902                 | 51.23         | 0.009393         | 0.009003        | 0.01528           | 0.8773                       | 0.003602        | 720.96 | -56012.500490179766 |
| AAVEUSDT     | 0.000481                  | 68.93         | 0.01084          | 0.01449         | 0.2495            | 0.7882                       | 0.007432        | 720.96 | -56012.50048103047  |
| ZECUSDT      | 0.0004752                 | 60.03         | 0.00976          | 0.01078         | 0.1111            | 0.8423                       | 0.004975        | 720.96 | -56012.50047517149  |
| OMGUSDT      | 0.0004716                 | 52.93         | 0.009858         | 0.00958         | 0.192             | 0.8909                       | 0.004263        | 720.96 | -56012.50047162917  |
| LINKUSDT     | 0.000448                  | 59.43         | 0.009851         | 0.008976        | 0.06002           | 0.9145                       | 0.003843        | 720.96 | -56012.500448042934 |
| ATOMUSDT     | 0.000437                  | 66.78         | 0.009459         | 0.008392        | 0.0386            | 0.9266                       | 0.002627        | 720.96 | -56012.500437038514 |
| FILUSDT      | 0.0004186                 | 67.92         | 0.008799         | 0.01474         | 0.2491            | 0.7899                       | 0.007819        | 720.96 | -56012.50041856796  |
| VETUSDT      | 0.0004158                 | 92.97         | 0.009216         | 0.008801        | 0.02755           | 0.8988                       | 0.0033          | 720.96 | -56012.500415835486 |
