+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                              long                                                                                              |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol    | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| OPUSDT    | 0.005283                  | 81.0          | 0.01367          | 0.0139          | 0.1302            | 0.8781                       | 0.009969        | 27.21  | -56012.505282694314 |
| SOLUSDT   | 0.004817                  | 59.57         | 0.008694         | 0.01393         | 0.2044            | 0.8705                       | 0.008976        | 89.75  | -56012.50481739623  |
| APTUSDT   | 0.004399                  | 70.67         | 0.01166          | 0.01007         | 0.136             | 0.927                        | 0.006989        | 13.25  | -56012.50439898574  |
| GALAUSDT  | 0.003899                  | 57.13         | 0.01037          | 0.01513         | 0.2888            | 0.7987                       | 0.009701        | 52.88  | -56012.50389900558  |
| DOGEUSDT  | 0.003647                  | 83.82         | 0.006381         | 0.01043         | 0.2251            | 0.7603                       | 0.008787        | 96.33  | -56012.50364708468  |
| DYDXUSDT  | 0.002959                  | 74.18         | 0.01499          | 0.01395         | 0.1364            | 0.8092                       | 0.007886        | 53.67  | -56012.50295880108  |
| APEUSDT   | 0.00293                   | 63.02         | 0.01259          | 0.01513         | 0.2678            | 0.8807                       | 0.009645        | 34.83  | -56012.50293018349  |
| ARUSDT    | 0.002878                  | 86.02         | 0.01485          | 0.01377         | 0.2037            | 0.9114                       | 0.00942         | 51.88  | -56012.502877830164 |
| HBARUSDT  | 0.002837                  | 66.22         | 0.006578         | 0.01511         | 0.1905            | 0.841                        | 0.008231        | 71.33  | -56012.50283685235  |
| ANKRUSDT  | 0.002814                  | 75.97         | 0.01038          | 0.01211         | 0.1907            | 0.7061                       | 0.00996         | 76.33  | -56012.50281393388  |
| HNTUSDT   | 0.00277                   | 70.1          | 0.009699         | 0.01565         | 0.1119            | 0.7351                       | 0.009787        | 88.33  | -56012.50277034304  |
| MATICUSDT | 0.002515                  | 56.32         | 0.008014         | 0.01627         | 0.2489            | 0.8385                       | 0.009065        | 85.96  | -56012.502515275715 |
| SANDUSDT  | 0.002504                  | 54.27         | 0.00926          | 0.01648         | 0.07543           | 0.8422                       | 0.009699        | 76.46  | -56012.5025037274   |
| MANAUSDT  | 0.002391                  | 72.78         | 0.008278         | 0.017           | 0.2526            | 0.7739                       | 0.009721        | 71.54  | -56012.502391158385 |
| CHZUSDT   | 0.002177                  | 57.57         | 0.01081          | 0.01397         | 0.06944           | 0.8345                       | 0.009651        | 76.83  | -56012.502177118266 |
| AVAXUSDT  | 0.002156                  | 85.82         | 0.0077           | 0.01598         | 0.2282            | 0.815                        | 0.007916        | 88.83  | -56012.502156241346 |
| ENSUSDT   | 0.002121                  | 48.23         | 0.0121           | 0.0118          | 0.204             | 0.931                        | 0.007427        | 45.58  | -56012.5021210581   |
| SUSHIUSDT | 0.00211                   | 54.42         | 0.009718         | 0.01606         | 0.1981            | 0.7083                       | 0.008684        | 90.75  | -56012.50211018328  |
| LINKUSDT  | 0.002041                  | 76.05         | 0.0086           | 0.015           | 0.1495            | 0.8355                       | 0.008694        | 113.83 | -56012.50204105505  |
| GRTUSDT   | 0.002011                  | 54.52         | 0.01331          | 0.01406         | 0.05412           | 0.7609                       | 0.009996        | 80.17  | -56012.50201067273  |
| XRPUSDT   | 0.001969                  | 78.85         | 0.008411         | 0.0124          | 0.1138            | 0.8029                       | 0.00985         | 114.96 | -56012.50196859453  |
| ZILUSDT   | 0.001933                  | 78.45         | 0.008666         | 0.01347         | 0.2301            | 0.8584                       | 0.008739        | 98.54  | -56012.50193340174  |
| ETCUSDT   | 0.001916                  | 60.72         | 0.008173         | 0.009948        | 0.08992           | 0.8649                       | 0.007607        | 113.96 | -56012.501916137306 |
| RSRUSDT   | 0.001798                  | 82.58         | 0.01382          | 0.0198          | 0.2595            | 0.7989                       | 0.009687        | 86.25  | -56012.50179845253  |
| UNIUSDT   | 0.001777                  | 75.95         | 0.01171          | 0.01484         | 0.2482            | 0.8279                       | 0.009128        | 89.33  | -56012.501777206155 |
| RENUSDT   | 0.001737                  | 52.27         | 0.01225          | 0.01434         | 0.1522            | 0.7904                       | 0.009554        | 86.83  | -56012.50173678914  |
| THETAUSDT | 0.001708                  | 75.93         | 0.01128          | 0.01295         | 0.2775            | 0.8575                       | 0.009965        | 100.75 | -56012.501707707735 |
| AXSUSDT   | 0.001701                  | 81.88         | 0.0121           | 0.01037         | 0.244             | 0.8542                       | 0.007636        | 83.04  | -56012.501701255416 |
| ALGOUSDT  | 0.001688                  | 69.4          | 0.01071          | 0.01314         | 0.1477            | 0.8059                       | 0.007999        | 98.75  | -56012.50168843746  |
| ATOMUSDT  | 0.001686                  | 58.7          | 0.007519         | 0.0176          | 0.1541            | 0.8098                       | 0.009466        | 111.71 | -56012.50168573484  |
| WAVESUSDT | 0.001663                  | 81.52         | 0.0144           | 0.01401         | 0.2317            | 0.8042                       | 0.00749         | 93.04  | -56012.50166329999  |
| ONEUSDT   | 0.001649                  | 67.35         | 0.009597         | 0.02096         | 0.1236            | 0.7197                       | 0.00934         | 71.25  | -56012.50164907047  |
| AUDIOUSDT | 0.001647                  | 89.67         | 0.01445          | 0.01556         | 0.2222            | 0.8205                       | 0.009948        | 55.88  | -56012.50164727695  |
| COTIUSDT  | 0.001615                  | 81.9          | 0.01229          | 0.0158          | 0.2098            | 0.8337                       | 0.009967        | 72.04  | -56012.5016146797   |
| ENJUSDT   | 0.001595                  | 69.28         | 0.01033          | 0.0138          | 0.203             | 0.7379                       | 0.007613        | 88.25  | -56012.501594753834 |
| AAVEUSDT  | 0.001588                  | 54.32         | 0.01029          | 0.01042         | 0.2398            | 0.8786                       | 0.006534        | 86.54  | -56012.501588330866 |
| SKLUSDT   | 0.001547                  | 85.12         | 0.01375          | 0.01296         | 0.1494            | 0.8303                       | 0.006782        | 81.25  | -56012.50154666048  |
| SNXUSDT   | 0.001542                  | 77.22         | 0.01319          | 0.01822         | 0.2739            | 0.8471                       | 0.009912        | 92.83  | -56012.50154222241  |
| 1INCHUSDT | 0.001512                  | 65.3          | 0.009619         | 0.01619         | 0.2322            | 0.8446                       | 0.007918        | 79.54  | -56012.50151153542  |
| ADAUSDT   | 0.001456                  | 76.62         | 0.006208         | 0.01662         | 0.2198            | 0.7472                       | 0.007042        | 112.46 | -56012.50145585925  |
| RUNEUSDT  | 0.001379                  | 83.15         | 0.01208          | 0.01849         | 0.1692            | 0.8528                       | 0.009358        | 90.75  | -56012.50137906488  |
| DOTUSDT   | 0.001359                  | 86.2          | 0.008536         | 0.01457         | 0.175             | 0.8504                       | 0.008233        | 92.04  | -56012.50135917061  |
| KSMUSDT   | 0.001318                  | 84.03         | 0.01344          | 0.01709         | 0.1749            | 0.8773                       | 0.009789        | 86.75  | -56012.501318413735 |
| ALPHAUSDT | 0.001315                  | 83.68         | 0.0153           | 0.01763         | 0.0314            | 0.8402                       | 0.009073        | 82.75  | -56012.50131531365  |
| OMGUSDT   | 0.001308                  | 66.53         | 0.009488         | 0.01738         | 0.2398            | 0.8787                       | 0.009553        | 97.12  | -56012.501307798535 |
| CRVUSDT   | 0.001251                  | 74.35         | 0.01265          | 0.01388         | 0.1457            | 0.7201                       | 0.007857        | 91.04  | -56012.50125128619  |
| EGLDUSDT  | 0.001229                  | 70.5          | 0.008485         | 0.01194         | 0.1744            | 0.8823                       | 0.006076        | 89.75  | -56012.50122911474  |
| EOSUSDT   | 0.001206                  | 84.73         | 0.007174         | 0.009524        | 0.06616           | 0.8599                       | 0.004605        | 114.75 | -56012.50120581723  |
| ZRXUSDT   | 0.001199                  | 77.57         | 0.01197          | 0.01685         | 0.19              | 0.8648                       | 0.008995        | 97.96  | -56012.501199185455 |
| XMRUSDT   | 0.001187                  | 88.4          | 0.0139           | 0.01636         | 0.2475            | 0.7317                       | 0.008701        | 112.12 | -56012.50118660847  |
| NEARUSDT  | 0.001154                  | 66.22         | 0.007575         | 0.009833        | 0.1967            | 0.8878                       | 0.003806        | 86.62  | -56012.501154261336 |
| XTZUSDT   | 0.001116                  | 76.37         | 0.008016         | 0.01724         | 0.1782            | 0.7621                       | 0.008703        | 111.83 | -56012.50111648717  |
| CHRUSDT   | 0.001054                  | 92.97         | 0.01147          | 0.012           | 0.2542            | 0.7031                       | 0.008958        | 71.83  | -56012.50105437632  |
| ZECUSDT   | 0.001046                  | 95.58         | 0.01233          | 0.01772         | 0.1335            | 0.7678                       | 0.009183        | 111.96 | -56012.50104591885  |
| SXPUSDT   | 0.001018                  | 81.47         | 0.01278          | 0.01552         | 0.1099            | 0.7702                       | 0.008426        | 95.25  | -56012.50101794845  |
