+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                           long (config no. 19051, score -56012.5014374164)                                                                           |
+-----------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol          | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
+-----------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| BELUSDT         | -0.001407                 | 62.57         | 0.02557          | 0.06136         | 1.897             | 0.5695                       | 0.02905         | 720.96 | -7903.550840132135  |
| TRBUSDT         | -0.0008005                | 94.33         | 0.02782          | 0.07412         | 1.265             | 0.5733                       | 0.03259         | 720.96 | -11063.34184164014  |
| UNFIUSDT        | 0.0002842                 | 61.7          | 0.02669          | 0.06556         | 1.499             | 0.5877                       | 0.03109         | 720.96 | -11653.699081834991 |
| FLMUSDT         | 0.000309                  | 73.48         | 0.02408          | 0.06462         | 1.253             | 0.5461                       | 0.02882         | 720.96 | -12229.406553483921 |
| SXPUSDT         | 0.0003628                 | 66.33         | 0.01971          | 0.05418         | 1.354             | 0.5906                       | 0.02467         | 720.96 | -19834.06868183967  |
| RUNEUSDT        | 0.0006427                 | 84.98         | 0.01915          | 0.04916         | 0.9647            | 0.5905                       | 0.02349         | 720.96 | -24895.38405790389  |
| RSRUSDT         | -0.0004504                | 53.58         | 0.01949          | 0.05063         | 0.9109            | 0.6107                       | 0.02353         | 720.96 | -27420.104463895022 |
| BLZUSDT         | -0.0003814                | 57.37         | 0.02052          | 0.04683         | 1.172             | 0.6383                       | 0.02324         | 720.96 | -27852.715544337305 |
| LITUSDT         | 0.00142                   | 60.25         | 0.02008          | 0.04482         | 0.8018            | 0.6349                       | 0.02231         | 720.96 | -32151.41670179588  |
| WAVESUSDT       | 0.001604                  | 62.45         | 0.01707          | 0.04404         | 0.7914            | 0.638                        | 0.02106         | 720.96 | -33818.10041668954  |
| LINAUSDT        | 0.0003083                 | 114.2         | 0.01803          | 0.03673         | 0.9587            | 0.6605                       | 0.01882         | 720.96 | -36461.18807834834  |
