+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| MKRUSDT      | 0.0008615                 | 72.0          | 0.008935         | 0.007837        | 0.02915           | 0.9165                       | 0.003144        | 720.96 | -56012.50086148002  |
| TOMOUSDT     | 0.0008009                 | 76.38         | 0.009199         | 0.009442        | 0.2112            | 0.8911                       | 0.004675        | 720.96 | -56012.50080091988  |
| CELRUSDT     | 0.0007823                 | 60.28         | 0.008954         | 0.01004         | 0.1752            | 0.8789                       | 0.005235        | 720.96 | -56012.500782293806 |
| SUSHIUSDT    | 0.0006836                 | 44.32         | 0.008622         | 0.007557        | 0.02126           | 0.9238                       | 0.002912        | 720.96 | -56012.50068357095  |
| LRCUSDT      | 0.0006579                 | 81.6          | 0.008782         | 0.008362        | 0.06871           | 0.8917                       | 0.00378         | 720.96 | -56012.500657871555 |
| DOGEUSDT     | 0.0006488                 | 67.9          | 0.007309         | 0.009135        | 0.07259           | 0.848                        | 0.004437        | 720.96 | -56012.50064877853  |
| CHZUSDT      | 0.0006388                 | 43.28         | 0.007912         | 0.009926        | 0.1327            | 0.8777                       | 0.004548        | 720.96 | -56012.50063879932  |
| ANKRUSDT     | 0.0006347                 | 63.55         | 0.008785         | 0.01121         | 0.2313            | 0.8508                       | 0.006076        | 720.96 | -56012.500634739496 |
| MANAUSDT     | 0.0005905                 | 46.3          | 0.008295         | 0.00845         | 0.1385            | 0.8982                       | 0.004191        | 720.96 | -56012.500590507116 |
| 1000SHIBUSDT | 0.0005839                 | 92.32         | 0.007475         | 0.01397         | 0.0562            | 0.7769                       | 0.007328        | 711.25 | -56012.50058393458  |
| RVNUSDT      | 0.0005828                 | 76.95         | 0.008628         | 0.01256         | 0.1016            | 0.8219                       | 0.00562         | 720.96 | -56012.50058279974  |
| COTIUSDT     | 0.0005821                 | 46.17         | 0.009621         | 0.01479         | 0.1924            | 0.7765                       | 0.007777        | 720.96 | -56012.50058209385  |
| MATICUSDT    | 0.0005813                 | 56.28         | 0.00913          | 0.0105          | 0.1815            | 0.8761                       | 0.005808        | 720.96 | -56012.50058134465  |
| THETAUSDT    | 0.000562                  | 57.88         | 0.008205         | 0.007727        | 0.05269           | 0.9007                       | 0.003107        | 720.96 | -56012.50056204089  |
| QTUMUSDT     | 0.0005441                 | 50.12         | 0.009144         | 0.01213         | 0.2766            | 0.8454                       | 0.006664        | 720.96 | -56012.500544144845 |
| OMGUSDT      | 0.0005375                 | 52.12         | 0.009062         | 0.008989        | 0.2245            | 0.8986                       | 0.004488        | 720.96 | -56012.50053750012  |
| HOTUSDT      | 0.0005275                 | 63.95         | 0.008228         | 0.01358         | 0.1906            | 0.7929                       | 0.006787        | 720.96 | -56012.50052747033  |
| XEMUSDT      | 0.0004958                 | 66.05         | 0.00916          | 0.009297        | 0.1663            | 0.8951                       | 0.004615        | 720.96 | -56012.50049579944  |
| HBARUSDT     | 0.0004952                 | 64.52         | 0.008592         | 0.009077        | 0.09649           | 0.8684                       | 0.004289        | 720.96 | -56012.50049517932  |
| ZECUSDT      | 0.000495                  | 42.52         | 0.009145         | 0.0117          | 0.1808            | 0.8097                       | 0.005971        | 720.96 | -56012.500495033586 |
| ATOMUSDT     | 0.000479                  | 72.67         | 0.00855          | 0.007898        | 0.01282           | 0.9102                       | 0.003015        | 720.96 | -56012.50047902066  |
| LINKUSDT     | 0.000453                  | 59.67         | 0.00908          | 0.01076         | 0.1512            | 0.835                        | 0.005558        | 720.96 | -56012.500452967084 |
| RLCUSDT      | 0.0004433                 | 43.75         | 0.01038          | 0.01816         | 0.2735            | 0.7769                       | 0.009896        | 720.96 | -56012.50044332791  |
| VETUSDT      | 0.0004389                 | 66.48         | 0.009022         | 0.01609         | 0.2277            | 0.7518                       | 0.007773        | 720.96 | -56012.50043885845  |
| ALGOUSDT     | 0.0004289                 | 51.32         | 0.008588         | 0.007325        | 0.1328            | 0.9275                       | 0.002477        | 720.96 | -56012.50042886795  |
| ENJUSDT      | 0.0004273                 | 50.3          | 0.009495         | 0.01882         | 0.1895            | 0.7201                       | 0.009087        | 720.96 | -56012.50042733825  |
| CTKUSDT      | 0.0004183                 | 62.75         | 0.008574         | 0.008173        | 0.07047           | 0.8978                       | 0.003161        | 720.96 | -56012.50041825118  |
| DOTUSDT      | 0.0004083                 | 73.87         | 0.008235         | 0.007845        | 0.03034           | 0.9104                       | 0.00299         | 720.96 | -56012.50040832235  |
| XRPUSDT      | 0.000401                  | 58.32         | 0.007055         | 0.005694        | 0.0               | 0.9865                       | 0.0005192       | 720.96 | -56012.50040103929  |
| XLMUSDT      | 0.0003545                 | 57.35         | 0.008211         | 0.009998        | 0.005053          | 0.9284                       | 0.003448        | 720.96 | -56012.50035453726  |
| ETCUSDT      | 0.0003216                 | 82.42         | 0.007872         | 0.008135        | 0.204             | 0.9137                       | 0.003918        | 720.96 | -56012.50032161467  |
| ADAUSDT      | 0.0003192                 | 61.43         | 0.008704         | 0.009221        | 0.2084            | 0.8753                       | 0.004892        | 720.96 | -56012.500319167    |
| EGLDUSDT     | 0.0002671                 | 94.73         | 0.01814          | 0.01238         | 0.2977            | 0.9614                       | 0.001688        | 720.96 | -56012.50026705663  |
| XTZUSDT      | 0.0001869                 | 58.6          | 0.00877          | 0.00822         | 0.2123            | 0.9214                       | 0.003785        | 720.96 | -56012.5001868868   |
| YFIUSDT      | -0.0001098                | 64.42         | 0.008869         | 0.01105         | 0.1246            | 0.834                        | 0.00587         | 720.96 | -56012.499890177554 |
| IOSTUSDT     | -0.0003971                | 51.77         | 0.008591         | 0.008652        | 0.301             | 0.904                        | 0.004418        | 720.96 | -56002.87162958384  |
| SXPUSDT      | 0.0007638                 | 68.02         | 0.009877         | 0.01514         | 0.3035            | 0.8136                       | 0.008706        | 720.96 | -55977.70449196843  |
| LTCUSDT      | 0.0002286                 | 100.2         | 0.007794         | 0.007569        | 0.06181           | 0.9121                       | 0.002933        | 720.96 | -55970.66689523074  |
| DENTUSDT     | 0.0005515                 | 101.5         | 0.009304         | 0.01723         | 0.187             | 0.7686                       | 0.008876        | 720.96 | -55957.66721812998  |
| NEARUSDT     | 0.0004204                 | 40.6          | 0.009309         | 0.01038         | 0.3088            | 0.8618                       | 0.005649        | 720.96 | -55924.096944375095 |
| EOSUSDT      | 0.0007216                 | 47.38         | 0.00823          | 0.01105         | 0.313             | 0.8674                       | 0.006078        | 720.96 | -55882.26840260433  |
| DASHUSDT     | 0.0004847                 | 49.53         | 0.009782         | 0.02068         | 0.3034            | 0.7084                       | 0.01021         | 720.96 | -55766.54801001912  |
| XMRUSDT      | 0.0002744                 | 82.73         | 0.009559         | 0.02082         | 0.1876            | 0.6963                       | 0.009945        | 720.96 | -55646.60848941168  |
| BNBUSDT      | 0.0002245                 | 134.4         | 0.008138         | 0.01285         | 0.2633            | 0.7795                       | 0.006766        | 720.96 | -55628.166891144385 |
| SKLUSDT      | 0.0008031                 | 44.58         | 0.009937         | 0.0135          | 0.3756            | 0.8516                       | 0.007574        | 720.96 | -55256.497006995254 |
| UNFIUSDT     | 0.001055                  | 46.98         | 0.01041          | 0.01808         | 0.3704            | 0.8084                       | 0.01025         | 720.96 | -55056.65833759933  |
| 1INCHUSDT    | 0.0004675                 | 67.48         | 0.00926          | 0.01314         | 0.396             | 0.8147                       | 0.007333        | 720.96 | -55052.2582842219   |
| CHRUSDT      | 8.857e-05                 | 54.82         | 0.0104           | 0.01628         | 0.397             | 0.8286                       | 0.009529        | 720.96 | -55042.7284593213   |
| SNXUSDT      | 0.0006061                 | 50.03         | 0.01052          | 0.01203         | 0.4022            | 0.8699                       | 0.007153        | 720.96 | -54990.33062993111  |
| TRXUSDT      | -0.0002336                | 112.3         | 0.009008         | 0.01361         | 0.3881            | 0.8125                       | 0.008005        | 720.96 | -54968.229836261984 |
| DGBUSDT      | 0.0004698                 | 63.23         | 0.01037          | 0.01957         | 0.3737            | 0.7614                       | 0.01032         | 720.96 | -54953.388860343955 |
| COMPUSDT     | 0.0004505                 | 61.23         | 0.009451         | 0.01011         | 0.4066            | 0.8811                       | 0.00569         | 720.96 | -54946.27316255699  |
| SANDUSDT     | 9.472e-05                 | 108.3         | 0.01266          | 0.01473         | 0.3949            | 0.9281                       | 0.001996        | 720.96 | -54940.48350974586  |
| ICXUSDT      | 0.0003452                 | 68.25         | 0.01019          | 0.01491         | 0.4079            | 0.8404                       | 0.008758        | 720.96 | -54933.07286974362  |
| DEFIUSDT     | 0.0006158                 | 64.97         | 0.009574         | 0.01309         | 0.4159            | 0.8262                       | 0.007455        | 720.96 | -54853.57167486638  |
| SOLUSDT      | 0.000777                  | 56.78         | 0.01125          | 0.01861         | 0.3247            | 0.7624                       | 0.01103         | 720.96 | -54731.07422305487  |
| ETHUSDT      | 0.0001294                 | 109.5         | 0.008568         | 0.009855        | 0.4297            | 0.8609                       | 0.005223        | 720.96 | -54580.74802023687  |
| BATUSDT      | 0.0003601                 | 82.87         | 0.009408         | 0.0102          | 0.4486            | 0.8728                       | 0.00555         | 720.96 | -54526.602761133756 |
| UNIUSDT      | 0.0003945                 | 65.97         | 0.01049          | 0.01926         | 0.4153            | 0.7437                       | 0.01039         | 720.96 | -54465.672182966184 |
| SFPUSDT      | 7.4e-05                   | 118.3         | 0.009112         | 0.007233        | 0.4376            | 0.9592                       | 0.001191        | 720.96 | -54412.86747176916  |
| ZILUSDT      | 0.0005393                 | 50.63         | 0.009887         | 0.01567         | 0.4608            | 0.8261                       | 0.009407        | 720.96 | -54404.96574316315  |
| BANDUSDT     | 0.0007645                 | 43.78         | 0.01043          | 0.01896         | 0.4883            | 0.7518                       | 0.01021         | 720.96 | -53917.33425682345  |
| ONTUSDT      | 0.0003344                 | 59.02         | 0.009708         | 0.0139          | 0.5177            | 0.8358                       | 0.007949        | 720.96 | -53835.50204590469  |
| WAVESUSDT    | 0.0007848                 | 45.72         | 0.01008          | 0.01755         | 0.4782            | 0.815                        | 0.01045         | 720.96 | -53781.97320455861  |
| GRTUSDT      | 0.0007179                 | 51.27         | 0.01087          | 0.02207         | 0.322             | 0.7334                       | 0.01202         | 720.96 | -53768.19891038945  |
| REEFUSDT     | 0.0002988                 | 45.12         | 0.009715         | 0.01975         | 0.4858            | 0.7206                       | 0.01039         | 720.96 | -53766.26420897095  |
| NEOUSDT      | 0.0004752                 | 68.95         | 0.009766         | 0.01411         | 0.5315            | 0.814                        | 0.008133        | 720.96 | -53697.121099640215 |
| RUNEUSDT     | 9.482e-05                 | 112.1         | 0.01558          | 0.01417         | 0.5172            | 0.8199                       | 0.007232        | 720.96 | -53679.14922465902  |
| ONEUSDT      | 0.0006386                 | 59.93         | 0.01053          | 0.02066         | 0.4228            | 0.7234                       | 0.01114         | 720.96 | -53643.19479741278  |
| BALUSDT      | 0.0002795                 | 49.83         | 0.009862         | 0.01272         | 0.5584            | 0.8378                       | 0.007364        | 720.96 | -53428.01588209686  |
| NKNUSDT      | 0.0006338                 | 52.18         | 0.01079          | 0.02255         | 0.4246            | 0.7134                       | 0.01174         | 720.96 | -53029.252497993264 |
| AVAXUSDT     | 0.0004421                 | 93.8          | 0.01136          | 0.01917         | 0.4826            | 0.7412                       | 0.01119         | 720.96 | -52993.386782802576 |
| MTLUSDT      | 0.0004949                 | 46.85         | 0.01051          | 0.01644         | 0.6395            | 0.8                          | 0.009517        | 720.96 | -52617.87500200287  |
| BCHUSDT      | 0.0002556                 | 62.95         | 0.008793         | 0.0101          | 0.6453            | 0.8592                       | 0.005647        | 720.96 | -52559.371929131776 |
| IOTAUSDT     | 0.0003352                 | 56.48         | 0.01002          | 0.01783         | 0.7044            | 0.7639                       | 0.009907        | 720.96 | -51968.35298800724  |
| BELUSDT      | 0.0005723                 | 53.87         | 0.01062          | 0.0198          | 0.5978            | 0.7766                       | 0.01116         | 720.96 | -51876.63222468742  |
| FTMUSDT      | 0.0006762                 | 62.85         | 0.01142          | 0.0245          | 0.4374            | 0.7121                       | 0.01316         | 720.96 | -51476.84775503646  |
| OGNUSDT      | 0.0004949                 | 52.72         | 0.01101          | 0.02197         | 0.5387            | 0.7661                       | 0.01219         | 720.96 | -51436.69541929869  |
| ALPHAUSDT    | 0.0006848                 | 47.85         | 0.01104          | 0.0212          | 0.5963            | 0.7336                       | 0.01171         | 720.96 | -51341.60950026759  |
| FILUSDT      | 0.0003235                 | 67.9          | 0.00911          | 0.02124         | 0.6298            | 0.7512                       | 0.01164         | 720.96 | -51075.23859615231  |
| LINAUSDT     | 0.0007234                 | 46.9          | 0.01155          | 0.02136         | 0.5922            | 0.7678                       | 0.01205         | 720.96 | -51039.63056487258  |
| BTCUSDT      | 0.0002891                 | 181.3         | 0.01144          | 0.01283         | 0.7487            | 0.8566                       | 0.008947        | 720.96 | -50671.871830947    |
| AXSUSDT      | 0.0005693                 | 63.98         | 0.01186          | 0.02071         | 0.6198            | 0.7469                       | 0.0124          | 720.96 | -50418.384230832504 |
| OCEANUSDT    | 0.0009253                 | 174.4         | 0.0353           | 0.02979         | 0.8227            | 0.9105                       | 0.006479        | 720.96 | -49995.320120261465 |
| LITUSDT      | 0.0007177                 | 55.08         | 0.01214          | 0.02342         | 0.6262            | 0.7466                       | 0.0132          | 720.96 | -49553.9493810391   |
| ALICEUSDT    | 0.0003891                 | 68.02         | 0.00985          | 0.02534         | 0.4242            | 0.6611                       | 0.01168         | 720.96 | -49197.440219750635 |
| KSMUSDT      | 0.0004799                 | 50.47         | 0.01222          | 0.01896         | 0.8234            | 0.7945                       | 0.01171         | 720.96 | -49066.64253243749  |
| ZENUSDT      | 0.0005646                 | 47.85         | 0.01152          | 0.02342         | 0.7243            | 0.7281                       | 0.01291         | 720.96 | -48859.439607304375 |
| RENUSDT      | -0.001262                 | 106.3         | 0.01846          | 0.01494         | 1.044             | 0.8813                       | 0.007784        | 720.96 | -48472.39906174399  |
| TRBUSDT      | -0.0002755                | 67.63         | 0.01221          | 0.01921         | 1.065             | 0.7691                       | 0.007105        | 720.96 | -48364.174031293136 |
| KAVAUSDT     | -0.0001212                | 45.2          | 0.01152          | 0.01897         | 0.9572            | 0.7965                       | 0.0114          | 720.96 | -48045.04919353283  |
| AAVEUSDT     | 0.0004427                 | 68.98         | 0.01222          | 0.02383         | 0.7512            | 0.7442                       | 0.01385         | 720.96 | -47649.93462920643  |
| BLZUSDT      | 0.0005047                 | 134.2         | 0.02611          | 0.03352         | 1.104             | 0.7472                       | 0.009283        | 720.96 | -47579.04232997675  |
| STMXUSDT     | -0.0009322                | 76.23         | 0.01596          | 0.02064         | 1.16              | 0.7853                       | 0.009853        | 720.96 | -47408.18245957356  |
| KNCUSDT      | -0.004021                 | 77.32         | 0.01575          | 0.0144          | 1.175             | 0.8051                       | 0.009142        | 720.96 | -47257.84975705194  |
| STORJUSDT    | 0.0002918                 | 53.25         | 0.01221          | 0.02403         | 1.091             | 0.7557                       | 0.01404         | 720.96 | -44060.01466096947  |
| ZRXUSDT      | -8.168e-05                | 49.7          | 0.01251          | 0.0261          | 1.129             | 0.7317                       | 0.01486         | 720.96 | -42855.01139342869  |
| RSRUSDT      | 1.121e-05                 | 51.65         | 0.01328          | 0.0268          | 1.159             | 0.7068                       | 0.01517         | 720.96 | -42246.27027554017  |
| FLMUSDT      | 0.0002025                 | 44.4          | 0.01281          | 0.02831         | 1.125             | 0.7566                       | 0.01591         | 720.96 | -41855.25489763204  |
| CRVUSDT      | -0.0003447                | 339.8         | 0.02666          | 0.03084         | 1.11              | 0.7583                       | 0.01439         | 720.96 | -41082.90124518075  |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                         short                                                                                          |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+----------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score    |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+----------+
| NKNUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| COMPUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| FILUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| SUSHIUSDT    | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| TRBUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| RENUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| XRPUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| EOSUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| 1INCHUSDT    | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| MTLUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| AXSUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| CHRUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| KSMUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| ATOMUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| ZRXUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| TRXUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| BATUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| CELRUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
