+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                               long                                                                                              |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| symbol    | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days  | score               |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| RUNEUSDT  | 0.01526                   | 93.77         | 0.01459          | 0.02144         | 0.1398            | 0.815                        | 0.009396        | 907.67  | -56012.51525632161  |
| OPUSDT    | 0.006087                  | 48.0          | 0.01015          | 0.01163         | 0.169             | 0.8766                       | 0.009883        | 272.38  | -56012.50608715502  |
| APTUSDT   | 0.004623                  | 67.43         | 0.01208          | 0.01191         | 0.09855           | 0.9194                       | 0.007225        | 132.88  | -56012.504623286615 |
| SOLUSDT   | 0.004396                  | 81.88         | 0.01029          | 0.01367         | 0.1849            | 0.8676                       | 0.008561        | 897.67  | -56012.504395736876 |
| ARUSDT    | 0.003585                  | 81.9          | 0.009902         | 0.01216         | 0.2361            | 0.9033                       | 0.00862         | 518.83  | -56012.5035845434   |
| DOGEUSDT  | 0.003537                  | 41.3          | 0.005991         | 0.01597         | 0.2391            | 0.7708                       | 0.009957        | 963.58  | -56012.50353741775  |
| GRTUSDT   | 0.002971                  | 50.65         | 0.007894         | 0.01747         | 0.2053            | 0.7533                       | 0.008931        | 801.67  | -56012.50297069625  |
| DYDXUSDT  | 0.002948                  | 76.03         | 0.01445          | 0.01344         | 0.1529            | 0.8139                       | 0.006474        | 536.83  | -56012.50294778703  |
| HBARUSDT  | 0.002918                  | 47.47         | 0.007533         | 0.01351         | 0.2741            | 0.8544                       | 0.009984        | 713.67  | -56012.50291758418  |
| GALAUSDT  | 0.00291                   | 88.18         | 0.01284          | 0.0131          | 0.05715           | 0.7496                       | 0.008446        | 528.83  | -56012.5029103601   |
| CHZUSDT   | 0.002828                  | 57.77         | 0.009449         | 0.01686         | 0.1872            | 0.857                        | 0.007348        | 768.67  | -56012.50282751408  |
| AVAXUSDT  | 0.002767                  | 91.67         | 0.00937          | 0.02196         | 0.2042            | 0.7844                       | 0.009908        | 888.67  | -56012.50276683     |
| RENUSDT   | 0.002746                  | 69.37         | 0.01056          | 0.0199          | 0.1453            | 0.7936                       | 0.00999         | 868.67  | -56012.502745733305 |
| HNTUSDT   | 0.002653                  | 81.62         | 0.01181          | 0.01813         | 0.06817           | 0.7631                       | 0.009966        | 883.67  | -56012.5026534591   |
| APEUSDT   | 0.002561                  | 92.57         | 0.01506          | 0.01479         | 0.2663            | 0.9059                       | 0.009764        | 348.33  | -56012.50256132905  |
| SANDUSDT  | 0.002538                  | 55.1          | 0.00844          | 0.01884         | 0.0594            | 0.8146                       | 0.009172        | 764.67  | -56012.50253813734  |
| MATICUSDT | 0.002449                  | 60.95         | 0.008289         | 0.01711         | 0.1321            | 0.8409                       | 0.009649        | 859.67  | -56012.50244906137  |
| ETCUSDT   | 0.002314                  | 58.43         | 0.007279         | 0.01862         | 0.2583            | 0.8571                       | 0.009016        | 1139.62 | -56012.50231364848  |
| MANAUSDT  | 0.002286                  | 50.08         | 0.007282         | 0.0178          | 0.1486            | 0.8304                       | 0.009981        | 715.67  | -56012.50228559361  |
| SUSHIUSDT | 0.002221                  | 54.38         | 0.01055          | 0.01732         | 0.1657            | 0.7042                       | 0.009683        | 907.67  | -56012.50222148468  |
| ANKRUSDT  | 0.002158                  | 75.97         | 0.01099          | 0.01103         | 0.1416            | 0.7011                       | 0.008349        | 763.67  | -56012.50215801883  |
| UNIUSDT   | 0.002156                  | 63.4          | 0.009012         | 0.01772         | 0.1027            | 0.862                        | 0.009971        | 893.67  | -56012.502155565264 |
| ENSUSDT   | 0.002143                  | 87.45         | 0.01274          | 0.01145         | 0.2178            | 0.9268                       | 0.006207        | 455.83  | -56012.50214266864  |
| WAVESUSDT | 0.002113                  | 52.13         | 0.01136          | 0.01575         | 0.2136            | 0.8265                       | 0.009365        | 930.67  | -56012.50211334032  |
| AXSUSDT   | 0.002112                  | 83.45         | 0.01502          | 0.01251         | 0.1749            | 0.842                        | 0.008433        | 830.67  | -56012.50211220498  |
| AAVEUSDT  | 0.001976                  | 67.67         | 0.01098          | 0.01163         | 0.1194            | 0.8762                       | 0.008685        | 865.67  | -56012.50197586317  |
| LINKUSDT  | 0.001951                  | 72.08         | 0.009758         | 0.01763         | 0.238             | 0.7719                       | 0.009347        | 1138.62 | -56012.50195087113  |
| FTMUSDT   | 0.001948                  | 82.92         | 0.01181          | 0.01352         | 0.1497            | 0.7623                       | 0.0092          | 887.67  | -56012.50194760703  |
| AUDIOUSDT | 0.001862                  | 95.7          | 0.01193          | 0.01384         | 0.2208            | 0.8587                       | 0.009883        | 558.83  | -56012.50186174348  |
| ALPHAUSDT | 0.001846                  | 66.25         | 0.009413         | 0.01839         | 0.2454            | 0.7377                       | 0.009406        | 827.67  | -56012.50184612714  |
| SKLUSDT   | 0.001819                  | 84.65         | 0.01421          | 0.01401         | 0.1802            | 0.8113                       | 0.008691        | 812.67  | -56012.50181902404  |
| ATOMUSDT  | 0.001798                  | 87.97         | 0.0134           | 0.01638         | 0.204             | 0.7662                       | 0.00898         | 1117.46 | -56012.50179800461  |
| ENJUSDT   | 0.001774                  | 80.45         | 0.009247         | 0.02064         | 0.0399            | 0.7564                       | 0.009482        | 882.67  | -56012.50177404279  |
| KSMUSDT   | 0.001763                  | 81.4          | 0.008295         | 0.01453         | 0.1076            | 0.892                        | 0.006779        | 867.67  | -56012.50176330983  |
| ALGOUSDT  | 0.001762                  | 81.45         | 0.01141          | 0.01158         | 0.2626            | 0.8094                       | 0.006884        | 987.58  | -56012.50176213855  |
| ZRXUSDT   | 0.00176                   | 54.28         | 0.007892         | 0.01633         | 0.1673            | 0.8237                       | 0.009875        | 979.58  | -56012.50176008459  |
| THETAUSDT | 0.00175                   | 67.12         | 0.01012          | 0.01043         | 0.1741            | 0.7052                       | 0.007474        | 1007.62 | -56012.50174976264  |
| COTIUSDT  | 0.001713                  | 81.92         | 0.01387          | 0.01701         | 0.2268            | 0.8083                       | 0.01            | 720.67  | -56012.50171323476  |
| ZILUSDT   | 0.001639                  | 58.1          | 0.009511         | 0.01161         | 0.09814           | 0.8304                       | 0.008052        | 985.58  | -56012.501638866306 |
| RSRUSDT   | 0.001559                  | 93.43         | 0.01553          | 0.01635         | 0.08229           | 0.8591                       | 0.009197        | 862.67  | -56012.50155906382  |
| XRPUSDT   | 0.001553                  | 95.38         | 0.008971         | 0.0151          | 0.2786            | 0.747                        | 0.009976        | 1149.62 | -56012.50155286085  |
| NEARUSDT  | 0.001526                  | 81.58         | 0.01493          | 0.01464         | 0.09554           | 0.8452                       | 0.008264        | 866.62  | -56012.50152577803  |
| SNXUSDT   | 0.001501                  | 50.3          | 0.01314          | 0.01404         | 0.162             | 0.836                        | 0.009064        | 928.67  | -56012.50150094998  |
| ADAUSDT   | 0.001445                  | 56.02         | 0.005095         | 0.009033        | 0.2109            | 0.8437                       | 0.003614        | 1124.62 | -56012.50144498538  |
| DOTUSDT   | 0.001437                  | 71.42         | 0.009476         | 0.01263         | 0.09964           | 0.8368                       | 0.009392        | 920.67  | -56012.50143697357  |
| ONEUSDT   | 0.001398                  | 88.93         | 0.01452          | 0.01507         | 0.2119            | 0.7917                       | 0.008897        | 712.67  | -56012.5013976834   |
| OMGUSDT   | 0.001397                  | 80.58         | 0.01865          | 0.01687         | 0.2064            | 0.8529                       | 0.008696        | 971.58  | -56012.50139665052  |
| 1INCHUSDT | 0.001395                  | 51.58         | 0.007586         | 0.01583         | 0.1927            | 0.8506                       | 0.00907         | 795.54  | -56012.50139482517  |
| CRVUSDT   | 0.00137                   | 74.35         | 0.01281          | 0.01441         | 0.09461           | 0.7485                       | 0.009544        | 910.67  | -56012.501370462254 |
| CHRUSDT   | 0.001304                  | 84.6          | 0.01475          | 0.01496         | 0.1725            | 0.7385                       | 0.007802        | 718.67  | -56012.50130432093  |
| EGLDUSDT  | 0.001209                  | 73.48         | 0.01075          | 0.01782         | 0.1547            | 0.8371                       | 0.009178        | 897.67  | -56012.50120924105  |
| EOSUSDT   | 0.001208                  | 94.22         | 0.0107           | 0.01051         | 0.1707            | 0.8365                       | 0.004625        | 1147.62 | -56012.501208431175 |
| SXPUSDT   | 0.001193                  | 80.62         | 0.0124           | 0.01178         | 0.1828            | 0.7689                       | 0.00874         | 952.58  | -56012.501192727694 |
| ZECUSDT   | 0.001122                  | 95.72         | 0.01161          | 0.01719         | 0.1638            | 0.7506                       | 0.009089        | 1119.62 | -56012.501122154645 |
| XMRUSDT   | 0.001009                  | 84.87         | 0.0106           | 0.009805        | 0.2398            | 0.8467                       | 0.004557        | 1121.62 | -56012.50100925575  |
| XTZUSDT   | 0.0009968                 | 82.42         | 0.01021          | 0.016           | 0.09367           | 0.7531                       | 0.007947        | 1118.62 | -56012.50099684745  |
| VETUSDT   | 0.0008171                 | 71.28         | 0.0119           | 0.01045         | 0.2845            | 0.765                        | 0.002728        | 1110.62 | -56012.50081711792  |
| TRXUSDT   | 0.000513                  | 89.98         | 0.006391         | 0.01115         | 0.2478            | 0.7301                       | 0.006773        | 1140.62 | -56012.50051297982  |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                        short                                                                                         |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+----------+
| symbol    | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days  | score    |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+----------+
| SUSHIUSDT | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 907.67  | -18040.0 |
| RENUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 868.67  | -18040.0 |
| XRPUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 1149.62 | -18040.0 |
| EOSUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 1147.62 | -18040.0 |
| 1INCHUSDT | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 795.54  | -18040.0 |
| AUDIOUSDT | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 558.83  | -18040.0 |
| AXSUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 830.67  | -18040.0 |
| CHRUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 718.67  | -18040.0 |
| KSMUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 867.67  | -18040.0 |
| ATOMUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 1117.46 | -18040.0 |
| ZRXUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 979.58  | -18040.0 |
| TRXUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 1140.62 | -18040.0 |
| MATICUSDT | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 859.67  | -18040.0 |
| SKLUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 812.67  | -18040.0 |
| RUNEUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 907.67  | -18040.0 |
| NEARUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 866.62  | -18040.0 |
| SXPUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 952.58  | -18040.0 |
| WAVESUSDT | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 930.67  | -18040.0 |
| OMGUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 971.58  | -18040.0 |
| HBARUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 713.67  | -18040.0 |
| ALGOUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 987.58  | -18040.0 |
| ANKRUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 763.67  | -18040.0 |
| RSRUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 862.67  | -18040.0 |
| APEUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 348.33  | -18040.0 |
| EGLDUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 897.67  | -18040.0 |
| SNXUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 928.67  | -18040.0 |
| APTUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 132.88  | -18040.0 |
| MANAUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 715.67  | -18040.0 |
| XTZUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 1118.62 | -18040.0 |
| GRTUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 801.67  | -18040.0 |
| ALPHAUSDT | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 827.67  | -18040.0 |
| AVAXUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 888.67  | -18040.0 |
| UNIUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 893.67  | -18040.0 |
| ADAUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 1124.62 | -18040.0 |
| DYDXUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 536.83  | -18040.0 |
| ETCUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 1139.62 | -18040.0 |
| CHZUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 768.67  | -18040.0 |
| ARUSDT    | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 518.83  | -18040.0 |
| SOLUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 897.67  | -18040.0 |
| FTMUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 887.67  | -18040.0 |
| ENSUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 455.83  | -18040.0 |
| COTIUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 720.67  | -18040.0 |
| HNTUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 883.67  | -18040.0 |
| ZECUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 1119.62 | -18040.0 |
| LINKUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 1138.62 | -18040.0 |
| ENJUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 882.67  | -18040.0 |
| THETAUSDT | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 1007.62 | -18040.0 |
| DOTUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 920.67  | -18040.0 |
| DOGEUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 963.58  | -18040.0 |
| ONEUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 712.67  | -18040.0 |
| GALAUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 528.83  | -18040.0 |
| CRVUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 910.67  | -18040.0 |
| AAVEUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 865.67  | -18040.0 |
| VETUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 1110.62 | -18040.0 |
| OPUSDT    | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 272.38  | -18040.0 |
| SANDUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 764.67  | -18040.0 |
| ZILUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 985.58  | -18040.0 |
| XMRUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 1121.62 | -18040.0 |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+----------+

