# note: symbols with little price history are not optimized on their own; instead the best config from among the symbols with more price history is chosen.

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| MAVUSDT       | 0.02379       | 0.0231      | 0.02619      | 0.9167        | 0.004078     | 0.003627    | 0.0            | 0.9998                 | 0.0002321    | 1.46   | -240179.273789 |
| EDUUSDT       | 0.007631      | 0.002877    | 0.05019      | 48.85         | 0.01233      | 0.01111     | 0.0002838      | 0.9702                 | 0.003106     | 61.46  | -240179.257631 |
| COMBOUSDT     | 0.005082      | 0.001361    | 0.0565       | 41.15         | 0.01584      | 0.01917     | 0.08084        | 0.9399                 | 0.008445     | 28.46  | -240179.255082 |
| KEYUSDT       | 0.005061      | 0.002992    | 0.03134      | 21.98         | 0.007213     | 0.01797     | 0.01641        | 0.9405                 | 0.006592     | 37.46  | -240179.255061 |
| 1000PEPEUSDT  | 0.003267      | 0.005691    | 0.03628      | 38.85         | 0.008485     | 0.01061     | 0.007812       | 0.9655                 | 0.004118     | 56.29  | -240179.253267 |
| RDNTUSDT      | 0.003038      | 0.001278    | 0.05331      | 42.5          | 0.01108      | 0.009539    | 0.07651        | 0.9707                 | 0.003345     | 86.46  | -240179.253038 |
| 1000LUNCUSDT  | 0.002831      | 0.002713    | 0.01892      | 60.15         | 0.006157     | 0.006268    | 0.0004459      | 0.9617                 | 0.001637     | 294.42 | -240179.252831 |
| RNDRUSDT      | 0.002466      | 0.002853    | 0.02775      | 46.53         | 0.005754     | 0.007002    | 0.01058        | 0.9682                 | 0.002595     | 147.88 | -240179.252466 |
| BLURUSDT      | 0.002222      | 0.001807    | 0.03876      | 34.15         | 0.01042      | 0.007862    | 0.0            | 0.9944                 | 0.0006842    | 63.46  | -240179.252222 |
| UMAUSDT       | 0.002192      | 0.001664    | 0.06568      | 66.73         | 0.01051      | 0.01006     | 0.02656        | 0.9537                 | 0.004742     | 51.46  | -240179.252192 |
| MATICUSDT     | 0.001914      | 0.003494    | 0.04941      | 64.25         | 0.01004      | 0.01839     | 0.04938        | 0.8783                 | 0.006751     | 790.96 | -240179.251914 |
| WAVESUSDT     | 0.0018        | 0.001793    | 0.04424      | 67.65         | 0.01148      | 0.01866     | 0.07194        | 0.8964                 | 0.007368     | 790.96 | -240179.2518   |
| ARBUSDT       | 0.001753      | 0.002787    | 0.07003      | 54.18         | 0.007899     | 0.01151     | 0.0744         | 0.9557                 | 0.00542      | 99.33  | -240179.251753 |
| FETUSDT       | 0.001685      | 0.002582    | 0.04292      | 58.87         | 0.0101       | 0.008188    | 0.008523       | 0.9723                 | 0.001996     | 164.88 | -240179.251685 |
| SANDUSDT      | 0.00168       | 0.002848    | 0.06004      | 83.5          | 0.01215      | 0.01935     | 0.06457        | 0.8523                 | 0.007707     | 790.96 | -240179.25168  |
| RLCUSDT       | 0.001648      | 0.002819    | 0.06877      | 75.63         | 0.0134       | 0.01883     | 0.06501        | 0.8683                 | 0.007704     | 790.96 | -240179.251648 |
| LINAUSDT      | 0.001573      | 0.001562    | 0.05636      | 89.82         | 0.01732      | 0.01958     | 0.09984        | 0.8662                 | 0.007241     | 790.96 | -240179.251573 |
| XRPUSDT       | 0.001552      | 0.00281     | 0.0737       | 54.48         | 0.00601      | 0.006677    | 0.04685        | 0.938                  | 0.003405     | 790.96 | -240179.251552 |
| RADUSDT       | 0.001529      | 0.001067    | 0.07301      | 86.25         | 0.01448      | 0.0134      | 0.02399        | 0.9518                 | 0.00547      | 51.46  | -240179.251529 |
| STXUSDT       | 0.001527      | 0.001987    | 0.07049      | 79.0          | 0.01413      | 0.01336     | 0.03692        | 0.9446                 | 0.005448     | 129.38 | -240179.251527 |
| SOLUSDT       | 0.001527      | 0.003006    | 0.07079      | 70.25         | 0.01362      | 0.01374     | 0.07625        | 0.9165                 | 0.00494      | 790.96 | -240179.251527 |
| HBARUSDT      | 0.001526      | 0.002713    | 0.07307      | 62.38         | 0.008337     | 0.01535     | 0.09476        | 0.8719                 | 0.005924     | 790.96 | -240179.251526 |
| ALPHAUSDT     | 0.001461      | 0.001997    | 0.06436      | 93.28         | 0.01381      | 0.01981     | 0.08342        | 0.846                  | 0.00771      | 790.96 | -240179.251461 |
| TOMOUSDT      | 0.001408      | 0.001291    | 0.02862      | 75.35         | 0.008951     | 0.01274     | 0.05539        | 0.9161                 | 0.004201     | 790.96 | -240179.251408 |
| ADAUSDT       | 0.001396      | 0.00243     | 0.06689      | 62.87         | 0.009891     | 0.01497     | 0.07868        | 0.9079                 | 0.006272     | 790.96 | -240179.251396 |
| HOTUSDT       | 0.001382      | 0.001914    | 0.02749      | 64.25         | 0.00865      | 0.01569     | 0.01985        | 0.8629                 | 0.005196     | 790.96 | -240179.251382 |
| MANAUSDT      | 0.001371      | 0.00245     | 0.06511      | 93.58         | 0.0124       | 0.01772     | 0.0917         | 0.8776                 | 0.007175     | 790.96 | -240179.251371 |
| NKNUSDT       | 0.001369      | 0.002182    | 0.07426      | 92.55         | 0.013        | 0.01898     | 0.05401        | 0.8245                 | 0.007311     | 790.96 | -240179.251369 |
| COTIUSDT      | 0.001359      | 0.00228     | 0.07439      | 86.05         | 0.01361      | 0.0177      | 0.05869        | 0.8612                 | 0.007282     | 790.96 | -240179.251359 |
| MKRUSDT       | 0.001332      | 0.002104    | 0.05059      | 88.83         | 0.01044      | 0.01119     | 0.05121        | 0.9061                 | 0.003529     | 790.96 | -240179.251332 |
| VETUSDT       | 0.001329      | 0.002821    | 0.07132      | 53.4          | 0.008631     | 0.01667     | 0.04719        | 0.8619                 | 0.006707     | 790.96 | -240179.251329 |
| DOGEUSDT      | 0.001282      | 0.002152    | 0.04833      | 67.1          | 0.008719     | 0.01155     | 0.05694        | 0.8798                 | 0.005362     | 790.96 | -240179.251282 |
| 1000FLOKIUSDT | 0.001279      | 0.001095    | 0.06159      | 72.0          | 0.0184       | 0.0111      | 0.009051       | 0.9782                 | 0.002366     | 55.29  | -240179.251279 |
| MTLUSDT       | 0.00127       | 0.001612    | 0.05034      | 95.87         | 0.0156       | 0.017       | 0.0764         | 0.892                  | 0.005952     | 790.96 | -240179.25127  |
| CELRUSDT      | 0.001243      | 0.001996    | 0.06753      | 95.97         | 0.0151       | 0.01554     | 0.01128        | 0.8817                 | 0.005632     | 790.96 | -240179.251243 |
