+----------------------------------------------------------------------------------------------------------------+
|                                                      long                                                      |
+-----------+---------------------------+-----------------+------------------+---------------+-------------------+
| symbol    | adg_realized_per_exposure | pa_distance_std | pa_distance_mean | hrs_stuck_max | loss_profit_ratio |
+-----------+---------------------------+-----------------+------------------+---------------+-------------------+
| ANKRUSDT  | 0.0004376                 | 0.01099         | 0.01504          | 76.65         | 0.0               |
| AUDIOUSDT | 0.0004413                 | 0.01082         | 0.01538          | 82.25         | 0.0               |
| HBARUSDT  | 0.0004522                 | 0.01116         | 0.0155           | 117.7         | 0.0               |
| ENJUSDT   | 0.0004538                 | 0.01083         | 0.0151           | 131.7         | 0.0               |
| GRTUSDT   | 0.0005507                 | 0.01101         | 0.01504          | 96.92         | 0.0               |
| CHRUSDT   | 0.0006124                 | 0.0112          | 0.01493          | 76.32         | 0.0               |
| VETUSDT   | 0.0006128                 | 0.01067         | 0.01455          | 140.4         | 0.0               |
| CELRUSDT  | 0.0006626                 | 0.01084         | 0.015            | 87.95         | 0.0               |
| 1INCHUSDT | 0.0006775                 | 0.01203         | 0.01562          | 103.1         | 0.0               |
| COTIUSDT  | 0.0007751                 | 0.01125         | 0.01559          | 83.17         | 0.0               |
| ONEUSDT   | 0.0007776                 | 0.01094         | 0.01557          | 87.0          | 0.0               |
| THETAUSDT | 0.0007777                 | 0.01101         | 0.01537          | 105.0         | 0.0               |
| CRVUSDT   | 0.0007953                 | 0.01197         | 0.01653          | 93.47         | 0.0               |
| SKLUSDT   | 0.0008097                 | 0.01192         | 0.01597          | 96.7          | 0.0               |
| RSRUSDT   | 0.0009561                 | 0.01276         | 0.01635          | 97.33         | 0.0               |
| SXPUSDT   | 0.00107                   | 0.01151         | 0.01509          | 96.85         | 0.0               |
| mean      | 0.0006789                 | 0.01131         | 0.01542          | 98.28         | 0.0               |
+-----------+---------------------------+-----------------+------------------+---------------+-------------------+
